Clock,Operator,Threshold,Overall Workload,Single Task Demand,Total Conflict Value,Auditory,Cognitive,Fine Motor,Gross Motor,Speech,Tactile,Visual
00:00.0,Operator,60,4,4,0,0,1,0,0,0,0,3
00:30.1,Operator,60,11,11,0,6,2,0,0,0,0,3
00:40.1,Operator,60,4,4,0,0,1,0,0,0,0,3
01:45.9,Operator,60,9.2,9.2,0,0,1,2.2,0,0,2,4
01:50.9,Operator,60,4,4,0,0,1,0,0,0,0,3
03:29.7,Operator,60,9.2,9.2,0,0,1,2.2,0,0,2,4
03:34.7,Operator,60,4,4,0,0,1,0,0,0,0,3
05:09.2,Operator,60,11,11,0,6,2,0,0,0,0,3
05:19.2,Operator,60,4,4,0,0,1,0,0,0,0,3
07:12.8,Operator,60,11,11,0,6,2,0,0,0,0,3
07:22.8,Operator,60,4,4,0,0,1,0,0,0,0,3
07:23.6,Operator,60,16.6,16.6,0,0,4,2.6,0,4,0,6
07:31.7,Operator,60,4,4,0,0,1,0,0,0,0,3
10:22.7,Operator,60,9.2,9.2,0,0,1,2.2,0,0,2,4
10:27.7,Operator,60,4,4,0,0,1,0,0,0,0,3
12:37.9,Operator,60,9.2,9.2,0,0,1,2.2,0,0,2,4
12:42.9,Operator,60,4,4,0,0,1,0,0,0,0,3
14:33.3,Operator,60,11,11,0,6,2,0,0,0,0,3
14:43.3,Operator,60,4,4,0,0,1,0,0,0,0,3
