,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
0,1,all,False,ol,25959,0.1459360777488251,1.551989712482344e-123,1.7934835411998455,1.7313276322297986,0.9965447076573324,1.8666666746139529,0.0,3.3333332538604736,0.3543221056461334,0.735760509967804,0.0,0.0,2.253974676132202
1,1,all,False,nl,35430,0.18830855920418954,3.9804892842320525e-280,1.1511557400093513,0.8328328307325847,0.887877799076852,0.6666666865348816,0.0,3.3333332538604736,0.2133655995130539,0.5926912426948547,0.0,0.0,2.163785457611084
2,1,all,False,ul,22436,0.14540667626696643,2.8862775206342958e-106,0.4723303112286581,0.10596957414602454,0.34876251531758684,0.0,0.0,2.0,0.07905829697847366,0.3721282482147217,0.0,0.0,2.1283280849456787
3,1,all,False,all,83825,0.23329376423985226,0.0,1.2711911051030496,0.9165324731696871,1.0284485373560952,0.5333333611488342,0.0,3.3333332538604736,0.22106939554214478,0.6034113764762878,0.0,0.0,2.253974676132202
4,1,all,True,ol,5386,0.696073245068604,0.0,0.7541913096380483,1.8497462808156253,1.0040574764909511,2.133333444595337,0.0,3.3333332538604736,1.638454794883728,0.6319135427474976,1.8685023784637451,0.0,2.253974676132202
5,1,all,True,nl,6592,0.8199615555025472,0.0,0.5857092834454866,0.801102358385586,0.9635933539777303,0.13333334028720856,0.0,3.3333332538604736,0.9386501312255859,0.9311656951904297,1.6270376443862915,0.0,2.163785457611084
6,1,all,True,ul,4836,0.8694248777929832,0.0,0.2851571763097704,0.06971326263157714,0.27849573949346995,0.0,0.0,2.0,0.13816235959529877,0.4823329746723175,0.0,0.0,2.127336025238037
7,1,all,True,all,16814,0.846518846364801,0.0,0.5831706449053515,0.9266524059139436,1.095267290374208,0.03333333507180214,0.0,3.3333332538604736,0.932583212852478,0.9358948469161987,0.5717297196388245,0.0,2.253974676132202
8,5,all,False,ol,25959,0.2134137196884922,4.158961783569893e-265,1.6560876462023244,1.7313276322297986,0.9965447076573324,1.8666666746139529,0.0,3.3333332538604736,0.568699061870575,0.8782970905303955,0.0,0.0,2.3964200019836426
9,5,all,False,nl,35430,0.25756217698865796,0.0,1.1134671760511168,0.8328328307325847,0.887877799076852,0.6666666865348816,0.0,3.3333332538604736,0.30470046401023865,0.702872097492218,0.0,0.0,2.465939521789551
