,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
0,1.0,all,True,ol,5284.0,0.6112049658917472,8.289054992986413e-05,0.7701371156278356,1.8817280538063101,0.9025996415946365,1.6693099992615836,0.5109805762767792
1,1.0,all,True,nl,6838.0,0.8224592617572389,4.62704021294855e-18,0.5630108391287787,0.7560780421457124,0.851956845406116,0.8909098615248998,0.8589015444119771
2,1.0,all,True,ul,4841.0,0.9019572319277497,2.138016217697721e-18,0.26859470272373837,0.06892840269804507,0.24569831615415505,0.13878260785713792,0.46244476983944577
3,1.0,all,True,all,17180.0,0.8464863382070192,9.859569059285453e-48,0.5855764889317376,0.917584464884625,1.0831354828015416,0.9201404174168905,0.9215084910392761
4,1.0,all,False,ol,27000.0,0.07117486456287041,0.06805280365498478,1.8713329756355206,1.8701811195338005,0.8770478670721216,0.368697007248799,0.7086259285608928
5,1.0,all,False,nl,39300.0,0.15401463555602699,0.07236524438016448,1.1176461384826757,0.8186841575701094,0.8184700835108907,0.2014423924808701,0.5437533353765805
6,1.0,all,False,ul,23704.0,0.13930063025426342,0.14752255378684476,0.468999197796653,0.13382465580840766,0.3434390034399738,0.07739498200161117,0.31031093267457827
7,1.0,all,False,all,90125.0,0.21749210372308786,0.0001256654895622668,1.2871510706561486,0.9346128458794553,1.0231578447939156,0.21315122097730638,0.5632595698038737
0,5.0,all,True,ol,8042.0,0.5811295392437096,0.039466209154430304,0.7606952346851605,1.9527008436689486,0.8354226978365957,1.7360932270685832,0.48374928496778014
1,5.0,all,True,nl,9635.0,0.8381607251051125,6.797866579502684e-28,0.5605482438025334,0.7550271073066587,0.8567994174569662,0.8956571112076441,0.8736984605590502
2,5.0,all,True,ul,6895.0,0.9270848880743733,5.713360932918961e-28,0.23093093089623012,0.06081643844706698,0.23129854727802474,0.11457056903208677,0.42641374927300674
3,5.0,all,True,all,24864.0,0.8564473760974158,8.567866440474505e-35,0.5763965334857492,0.936732189373355,1.0922258159445621,0.9466986695925395,0.947782959540685
4,5.0,all,False,ol,27000.0,0.16379706099460345,0.06267896270912413,1.7204814363551164,1.8701811195338005,0.8770478670721216,0.5972996691862742,0.8333020359277725
5,5.0,all,False,nl,39300.0,0.21749072794919752,0.05978317361963804,1.0816705880023245,0.8186841575701094,0.8184700835108907,0.2975842443605264,0.642431378364563
6,5.0,all,False,ul,23267.0,0.21304450704122807,0.09741983386188388,0.46979850563298564,0.13753808130925577,0.34842335431455107,0.09122203111096665,0.3118271802862485
7,5.0,all,False,all,90125.0,0.31614991658091035,5.2829513742539744e-06,1.2084888328962913,0.9346128458794553,1.0231578447939156,0.3277164432530602,0.6765640944242477
0,10.0,all,True,ol,10838.0,0.5728282005266965,0.012582336492180737,0.7563416670332289,1.9826451786254924,0.7907358705406052,1.7842431664466858,0.46904268336171906
1,10.0,all,True,nl,12226.0,0.8401852204186245,6.301910274005987e-37,0.5742050429927273,0.7855759155897021,0.8825038313773722,0.9502948597073555,0.9223719707557133
2,10.0,all,True,ul,9091.0,0.9443274296461281,1.2365574181413899e-18,0.20247888043280954,0.06782342424681019,0.2415854308578655,0.11405286536766933,0.4144587167180501
3,10.0,all,True,all,32640.0,0.865846834886448,2.8245521643268447e-13,0.568632724333979,0.9528634272173014,1.0966183988367049,0.9678714354832967,0.9693426529566447
4,10.0,all,False,ol,27000.0,0.28360842344544807,0.007321447724461441,1.5335190987864975,1.8701811195338005,0.8770478670721216,0.824097123524795,0.8774992868304252
