,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
0,1.0,all,True,ol,5215.0,0.6087842931073416,0.006654659591289996,0.7700428666861348,1.8793450535950165,0.9059193257403823,1.6951854697295599,0.5256044257964406
1,1.0,all,True,nl,6677.0,0.819506585672738,1.5962927746960624e-17,0.5766197771502984,0.7549686029325293,0.8538259617803725,0.898101614912351,0.8714040964841843
2,1.0,all,True,ul,4759.0,0.902691267342263,1.6521551784101436e-19,0.26624436694250275,0.06688203307887844,0.24289727289181204,0.1351036410778761,0.4564446931083997
3,1.0,all,True,all,16856.0,0.8455646587770197,6.746497561485563e-49,0.5925375759138928,0.9196832266912139,1.0854763080474272,0.933476064602534,0.936894287665685
4,1.0,all,False,ol,26741.0,0.04516365898435223,0.05762296702667515,1.8564635375265044,1.8699142775377493,0.8785828944839447,0.3937650481859843,0.7250226537386576
5,1.0,all,False,nl,37758.0,0.1581597956016451,0.06657635201993631,1.1098502816821152,0.808049719168542,0.8192858137507162,0.2064736460025112,0.5530427187681198
6,1.0,all,False,ul,23477.0,0.13747925297516317,0.1451165449480165,0.466496753284027,0.13133272446853966,0.34058366082285313,0.07704441788207207,0.30850852334073614
7,1.0,all,False,all,88097.0,0.22351045553691182,6.330541963671743e-05,1.277026240356849,0.9214145036316098,1.0216727254812143,0.21610525685052076,0.5722296680013339
0,5.0,all,True,ol,7920.0,0.5978755702665279,0.031909397928170095,0.7663155310248645,1.952254655625617,0.8360139719734228,1.730476693312327,0.4947782404720783
1,5.0,all,True,nl,9473.0,0.8392004400573738,1.0905735281601127e-28,0.5575941758457675,0.7494348840876768,0.8572069077282443,0.8749012103925149,0.8656619628270467
2,5.0,all,True,ul,6757.0,0.9307442537369665,3.1597998049447095e-34,0.22198767637089312,0.060162667127651843,0.22967692950506255,0.11181629270028609,0.4163094094166389
3,5.0,all,True,all,24430.0,0.8572477156052567,9.871911491160663e-34,0.5782542164936108,0.9381157784978496,1.0931513999557647,0.9383004705111185,0.9427634159723918
4,5.0,all,False,ol,26741.0,0.14668165577070166,0.08008904590218764,1.7007722805256742,1.8699142775377493,0.8785828944839447,0.6226017229259014,0.8356209397315979
5,5.0,all,False,nl,37758.0,0.22482398869534428,0.0651425260788333,1.0699248586301948,0.808049719168542,0.8192858137507162,0.3026833590120077,0.640152445435524
6,5.0,all,False,ul,23040.0,0.21332935992110102,0.09277895193204594,0.4657205419026335,0.13495385621605932,0.3454622582671667,0.09165397325220208,0.30514811669234876
7,5.0,all,False,all,88097.0,0.3249273326601058,6.171971581522004e-06,1.1970016328345006,0.9214145036316098,1.0216727254812143,0.32901752336571616,0.6756439452370008
0,10.0,all,True,ol,10698.0,0.6287515802821989,0.00993479473002842,0.7743885717818431,1.9801170912178712,0.7925866480767383,1.77827676932017,0.4832175348419696
1,10.0,all,True,nl,11977.0,0.8337987018012729,1.118684444763363e-39,0.5850947543215508,0.7839296082759579,0.8837364139239369,0.936839226101126,0.917543596455029
2,10.0,all,True,ul,8964.0,0.9410185774783262,6.141026395226524e-17,0.19067835919556275,0.06860103659107261,0.24372180323129808,0.11191654226814325,0.4017252463560838
3,10.0,all,True,all,32114.0,0.8635498859585383,1.8449083265522557e-14,0.5846731306348777,0.9541972954422723,1.097430716735197,0.958687029282252,0.9665060559908549
4,10.0,all,False,ol,26741.0,0.2785859187886649,0.01727866058760535,1.5047870615286132,1.8699142775377493,0.8785828944839447,0.8499139171404143,0.8712698563933372
5,10.0,all,False,nl,35865.0,0.292752258229815,0.016937366209392853,1.0285832254712073,0.8151934871111846,0.8216605262625583,0.40743011724332284,0.7367329114469988
6,10.0,all,False,ul,22701.0,0.3062623713699239,0.010866672075029525,0.43854855674619225,0.13658943857713263,0.34672225631824993,0.09242714794639212,0.30328966161379445
7,10.0,all,False,all,88097.0,0.41888498146476477,4.5005401459451113e-07,1.1053588422726148,0.9214145036316098,1.0216727254812143,0.43213444428984077,0.7570433271427949
0,15.0,all,True,ol,11966.0,0.645031999221105,0.007198493076354201,0.7529741190861816,2.000086777472111,0.7954389377016363,1.802723531065316,0.5104167797955973
1,15.0,all,True,nl,13357.0,0.8506149605072508,1.882416560840995e-39,0.5720094584628176,0.7812985957451831,0.8677995415945031,0.9285654638494764,0.9170780607632228
2,15.0,all,True,ul,9625.0,0.94432343875535,1.7186953040195516e-17,0.17658935981391685,0.09657394997137979,0.26082538890062656,0.1388733491487801,0.4009319731593132
3,15.0,all,True,all,35920.0,0.8711434680296375,2.314998358996209e-43,0.5651929074582681,0.95468702238071,1.090939286004617,0.9754099928099533,0.985049019599783
4,15.0,all,False,ol,25823.0,0.3601084033655246,0.00797111820219609,1.3996928683072056,1.873627294825549,0.8743881311395308,0.9747821842801982,0.8841747251050226
5,15.0,all,False,nl,35865.0,0.33857454263106845,0.011618950414066213,0.9920843502522891,0.8151934871111846,0.8216605262625583,0.46307417416367036,0.749657555900771
6,15.0,all,False,ul,21734.0,0.3332000508472365,0.02528851952750618,0.43780550922031236,0.1401975990804081,0.35292792958830743,0.10568018781021238,0.3108795128762722
7,15.0,all,False,all,84947.0,0.48529189336248,2.0818441354042773e-09,1.037061078013589,0.9226834943478681,1.0227512816600544,0.5129340404066546,0.8043076056858589
0,30.0,all,True,ol,11596.0,0.6535923890576065,0.04296168834761237,0.7351146040903314,2.048196745764206,0.7751007642655684,1.8479524891951988,0.5914662644780916
1,30.0,all,True,nl,13216.0,0.864346400075048,2.112569582342859e-27,0.5627701109970459,0.8217307758139265,0.8945072009902937,0.9145541803113052,0.9136233734233039
2,30.0,all,True,ul,8216.0,0.9687375873730972,6.661388020128961e-17,0.15950094199424858,0.08593561639254718,0.2646494195325546,0.10764440485379762,0.3792407396766875
3,30.0,all,True,all,35010.0,0.8969867934173176,7.635609218481174e-34,0.5560438601528701,0.9943722023450412,1.1111858530111343,0.9875819765288254,1.0122497636696388
4,30.0,all,False,ol,25823.0,0.46579079978464677,0.005780572407623904,1.3167741762012846,1.873627294825549,0.8743881311395308,0.993355700425033,0.8521148120534832
5,30.0,all,False,nl,35865.0,0.4152204157146284,0.012947585555979942,0.9324955204198205,0.8151934871111846,0.8216605262625583,0.46241746592367516,0.6911295051204747
6,30.0,all,False,ul,16225.0,0.4568975951100722,0.017952579131722005,0.41111867287875536,0.14146416216048652,0.3410461074489116,0.17925217240634891,0.33969581375519436
7,30.0,all,False,all,84947.0,0.5439269240114034,2.1308442409940033e-06,0.9802617114108731,0.9226834943478681,1.0227512816600544,0.5172016271229448,0.7741284966468811
0,60.0,all,True,ol,10657.0,0.6530620194910772,0.0277276085844623,0.6963264242389271,2.0995317574827497,0.7435422309690598,1.9087838222240578,0.5860491908829788
1,60.0,all,True,nl,10964.0,0.8650031651964306,1.6291973648302057e-08,0.5482138851756229,0.7848547416297582,0.9044710999248418,0.8676280602812767,0.9179921635874996
2,60.0,all,True,ul,7528.0,0.9399498221821696,7.874153023801053e-16,0.142929058376821,0.0862162827630801,0.26504105457588956,0.10131944653888543,0.34161924736367333
3,60.0,all,True,all,30882.0,0.9055659446712547,1.5556896953228958e-13,0.5387005125405506,1.0306886867316427,1.1389069353985337,1.0158491710136677,1.0441339262600602
4,60.0,all,False,ol,25823.0,0.4311453794682509,0.07425479600080064,1.3102127585117878,1.873627294825549,0.8743881311395308,0.9643940007121399,0.8485758381670919
5,60.0,all,False,nl,34534.0,0.3970351491806767,0.056703192471656456,0.9819470269136081,0.8642261297272413,0.8545990424159177,0.4194961491610027,0.638528725201333
