,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
0,1,1,False,ol,2770,0.16578302336795783,1.6032422431812613e-18,1.3007824549374305,0.9125631906065269,1.0289980428621295,0.21688465774059296,0.5928823947906494
1,1,1,False,nl,380,0.03614304106136051,0.4823886069525612,0.3917260196656854,0.053508772465743516,0.2480378540233393,0.056263260543346405,0.3122786581516266
2,1,1,False,ul,0,,,,,,,
3,1,1,False,all,3150,0.18115333530736047,1.20732146785085e-24,1.2273662162450376,0.8089312290530356,1.0083709458366488,0.1975080966949463,0.5688638091087341
4,1,1,True,ol,473,0.7866299764724438,1.0812691965745598e-100,0.6823406137494422,0.9492600572317146,1.0970822420464108,1.0104806423187256,0.9179202914237976
5,1,1,True,nl,53,0.8553962085077792,3.472316223467976e-16,0.299415655550865,0.025157233454146475,0.11885295157447531,0.09460657835006714,0.3863355815410614
6,1,1,True,ul,0,,,,,,,
7,1,1,True,all,526,0.7988161612001354,9.706880607653873e-118,0.6539945949157381,0.8561470350640128,1.0775502496584533,0.9181966781616211,0.921261191368103
8,1,2,False,ol,1004,0.10614874979897321,0.0007550807955205086,1.811828910878472,1.827622867215321,0.9448437301498803,0.4607584476470947,0.8294954895973206
9,1,2,False,nl,714,0.11895780687274977,0.0014505964331294342,1.025084534700849,0.7363212098803172,0.7279514280382214,0.19726045429706573,0.5742401480674744
10,1,2,False,ul,1432,0.14713117422103536,2.227830097249272e-08,0.4674953468916525,0.12886406091047065,0.3872485058417928,0.06061604619026184,0.3161654472351074
11,1,2,False,all,3150,0.2837382773314141,2.1053750117625514e-59,1.1763666428159054,0.8080000119881025,1.0074856713152502,0.21912625432014465,0.6079740524291992
12,1,2,True,ol,223,0.445185534779722,2.97198212400223e-12,0.7975143492803454,2.1461883725205877,0.8384471904389295,1.877265453338623,0.3667546510696411
13,1,2,True,nl,104,0.8284170813091158,1.9973444775595346e-27,0.5882461261477705,0.7307692466733547,0.7848416127226192,1.008899450302124,0.924821138381958
14,1,2,True,ul,273,0.8887622903428464,8.414393818960339e-94,0.30629722920315305,0.0805860819779473,0.27075916500190944,0.16744773089885712,0.5068555474281311
15,1,2,True,all,600,0.8582273558309007,2.3240332499317316e-175,0.5822861468911118,0.9610000151768326,1.1337308750753516,0.9487816095352173,0.956000804901123
16,1,3,False,ol,1029,-0.09629937787813542,0.0019845854332634877,1.9765654722501562,1.7946226375776662,0.9131850541934025,0.1445387303829193,0.5102752447128296
17,1,3,False,nl,775,0.1587288252282134,9.001413267138395e-06,1.0315091060274688,0.6971182928354509,0.8017983559301491,0.13448502123355865,0.47479048371315
18,1,3,False,ul,1286,0.21477170113182306,6.947740178962545e-15,0.4144270513469861,0.10316226073478466,0.3595237450181494,0.051269639283418655,0.2911357283592224
19,1,3,False,all,3090,0.08715172469574882,1.2231916585513384e-06,1.2803705165081494,0.8154045431455748,1.013252020761057,0.10320032387971878,0.4248065948486328
20,1,3,True,ol,68,0.16220560459686081,0.18631664414832924,0.9083338850743219,1.6990196347674902,0.8731651211563036,1.8801944255828857,0.36498966813087463
21,1,3,True,nl,78,0.771887445675593,1.3155042845870124e-16,0.6303164073924636,0.8658119711356286,0.8472172340228453,1.1149849891662598,0.8663085103034973
22,1,3,True,ul,128,0.8182706845246026,4.351104181649676e-32,0.3915616077298716,0.16770833352347836,0.44409586263356016,0.28823357820510864,0.6347312331199646
