,participant,filtered,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
0,1,False,3250,0.028609167558699168,0.10295789252959904,1.6493247003175273,0.4,1.1688258408136971,0.4430745840072632,1.1967881917953491
1,1,True,108,0.9559232136800072,3.1062228902928584e-58,0.5647617408154519,1.7407407407407407,1.8477732864098406,1.860337734222412,1.8678466081619263
2,2,False,2186,0.04819913389003408,0.024224123437814517,1.905690297977303,0.5306495882891126,1.3527861658835667,0.6750088930130005,1.4012558460235596
3,2,True,136,0.9888146297796994,1.2816892697175065e-112,0.38617648610188543,2.0,2.0,1.806501865386963,1.8269367218017578
4,3,False,4970,0.15838860335072058,2.7671157933856566e-29,1.8312933430546992,0.5255533199195171,1.2689810174347378,0.7455827593803406,1.5183027982711792
5,3,True,534,0.9655259254923227,3.91153780515e-313,0.49793127875581283,1.7303370786516854,1.840640124020245,1.8335480690002441,1.865027666091919
6,4,False,5173,0.16768712641076175,6.186688436527783e-34,1.748649388946504,0.5049294413299826,1.2480120902115281,0.6705024838447571,1.4407877922058105
7,4,True,520,0.9733156005305035,0.0,0.4385789878271158,1.7038461538461538,1.8220826564951962,1.8125501871109009,1.849061369895935
8,5,False,4355,0.03624875598212248,0.01674576400774564,2.1361908431550733,0.5340987370838117,1.2852324111833449,1.0489871501922607,1.6740245819091797
9,5,True,446,0.9256067495348491,1.8444491087457143e-189,0.7193257625130397,1.704035874439462,1.8222176009632085,1.8244946002960205,1.8517441749572754
10,6,False,5149,0.10149140474974858,2.8828570869637356e-13,1.6720676544293007,0.5072829675665178,1.2504399605398056,0.4521551728248596,1.2428287267684937
11,6,True,292,0.9584012160133482,6.041180655735447e-160,0.5649476015558357,1.773972602739726,1.8699884548219001,1.9042893648147583,1.923746109008789
12,7,False,5021,0.11325112711986887,8.362961521882262e-16,1.5564858261773686,0.5202150965943039,1.2636191488951987,0.31371355056762695,1.039628028869629
13,7,True,226,0.9727952322953468,2.9351381011028906e-144,0.4441258207763073,1.8407079646017699,1.912077921179529,1.8663830757141113,1.879317283630371
14,8,False,4043,0.1010584111601698,1.1926628410296294e-10,1.824338831397787,0.5580014840465001,1.2866587110156582,0.6356351971626282,1.4275645017623901
15,8,True,304,0.9824975297075673,1.8042922253518376e-222,0.36083825100825745,1.881578947368421,1.9362681500841952,1.8914774656295776,1.9064452648162842
16,9,False,3673,0.07138730789296709,1.4877063377517329e-05,1.4895347718693852,0.4780833106452491,1.17979238651593,0.27896764874458313,0.975429356098175
17,9,True,118,0.9726614051676092,2.1216345205071068e-75,0.44365605056186314,1.8305084745762712,1.905856650423132,1.8133841753005981,1.8282808065414429
18,10,False,5153,0.0935733889640517,1.6937129605098986e-11,1.7090343187096648,0.5068891907626625,1.2500343821180988,0.5308995842933655,1.2880027294158936
19,10,True,348,0.9770369072215743,2.0461154092543658e-234,0.39712419730070386,1.7471264367816093,1.8521090234077615,1.7191697359085083,1.7750256061553955
20,11,False,5073,0.06428913955436141,4.592164353833393e-06,1.8028514800075415,0.5062093435836783,1.2604817308887972,0.5960008502006531,1.3694308996200562
21,11,True,292,0.9904206379106242,2.0669460040686323e-251,0.27087049798440366,1.8904109589041096,1.9413428754034932,1.8714241981506348,1.8888264894485474
22,12,False,5037,0.085535172171073,1.2001343515578756e-09,1.8027387847514276,0.5082390311693469,1.2623743727671881,0.635083794593811,1.3932197093963623
23,12,True,364,0.9705290933199231,8.220965790850119e-226,0.4526183261262052,1.7802197802197801,1.8740694265242466,1.8077329397201538,1.8308848142623901
24,13,False,4747,0.057928701802181445,6.510458616630756e-05,1.8483433314412077,0.5317042342532126,1.285296154392637,0.6184316277503967,1.4020130634307861
25,13,True,320,0.9553643209751497,1.8825638774773073e-170,0.5552382958598844,1.78125,1.8747395652463303,1.769355058670044,1.8283824920654297
26,14,False,4904,0.11120649684842425,5.724233839239487e-15,1.8348121514606586,0.5065252854812398,1.258396853491685,0.6503728628158569,1.4748069047927856
27,14,True,360,0.9773821846220246,1.206318634183743e-243,0.4503759674326302,1.8222222222222222,1.9007470915860532,1.9742577075958252,1.992451786994934
28,15,False,5064,0.09568115097188426,8.92713982091915e-12,1.7431207618443914,0.5055292259083728,1.2595484582405374,0.5370518565177917,1.3311090469360352
29,15,True,286,0.9993572830807056,0.0,0.12978345612447195,1.993006993006993,1.9964881877604939,1.9164931774139404,1.9186065196990967
30,16,False,5078,0.05486808382857143,9.157712213003235e-05,1.5160941009655564,0.5041354864119733,1.2580902550905442,0.23192419111728668,0.8730291724205017
31,16,True,170,0.9295081709415355,1.099406753673934e-74,0.6518695513329456,1.6235294117647059,1.7621942911390855,1.580492615699768,1.6646541357040405
32,17,False,5059,0.06661242564175532,2.1160298122740074e-06,1.5177364586261142,0.5139355603874284,1.269385560078939,0.23290465772151947,0.8721835613250732
33,17,True,148,0.9857039835828881,8.010222603727081e-115,0.3856851019593145,1.8783783783783783,1.9344159164747596,1.728073000907898,1.765567660331726
34,18,False,4777,0.052080146852817144,0.00031691615392881483,1.6065997626642392,0.52501570023027,1.278087053118474,0.34238559007644653,1.0250686407089233
35,18,True,202,0.9648567239880944,4.825842322933185e-118,0.5440968260761644,1.7821782178217822,1.8753426638490016,1.6171104907989502,1.6483592987060547
36,19,False,5003,0.0771155222705445,4.726682451650958e-08,1.7644848603524623,0.5196881870877473,1.2752985183586683,0.5599653720855713,1.3210759162902832
37,19,True,318,0.9562813450752442,8.760729012535171e-171,0.5679375626320698,1.8553459119496856,1.9208766276650104,1.7756901979446411,1.8116579055786133
