,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
0,1,False,ol,907,-0.09277813376115807,0.0051687044782632915,2.4227683493087016,0.9040793825799338,1.6730086671364324,0.0,0.0,4.0,0.891465961933136,1.6039807796478271,0.0,0.0,3.998361825942993
1,1,False,nl,860,-0.03372758393416373,0.3231872238273254,1.6670817674293754,0.4186046511627907,1.2244136354500637,0.0,0.0,4.0,0.36597251892089844,1.0895917415618896,0.0,0.0,3.9559123516082764
2,1,False,ul,1308,0.18058852220539268,4.7319618682746474e-11,0.8169930492873925,0.09174311926605505,0.4184130000363808,0.0,0.0,2.0,0.185326486825943,0.7751030921936035,0.0,0.0,4.002191066741943
3,1,False,all,3075,0.027130947917287745,0.13254300288218596,1.6710888540631699,0.42276422764227645,1.1976136847528631,0.0,0.0,4.0,0.4441310465335846,1.1981933116912842,0.0,0.0,4.002191066741943
4,1,True,ol,554,0.9950897969474796,0.0,0.11341050730885377,0.24548736462093862,0.960044484539764,0.0,0.0,4.0,0.2279731184244156,0.8959495425224304,0.0,0.0,3.967263698577881
5,1,True,nl,693,0.9998350732231097,0.0,0.013156447187064301,0.03463203463203463,0.37057895340316355,0.0,0.0,4.0,0.03356899321079254,0.35926321148872375,0.0,0.0,3.9514784812927246
6,1,True,ul,1203,0.9967026570008786,0.0,0.16792532436989488,0.023275145469659187,0.2144960571728175,0.0,0.0,2.0,0.04108276590704918,0.37985774874687195,0.0,0.0,3.830227851867676
7,1,True,all,2450,0.9711544201114197,0.0,0.1296286116747445,0.07673469387755102,0.5274404415747618,0.0,0.0,4.0,0.08121754229068756,0.5433011054992676,0.0,0.0,3.967263698577881
8,2,False,ol,907,0.009245429623184483,0.7809652296261932,2.219009222222387,0.9040793825799338,1.6730086671364324,0.0,0.0,4.0,0.8056453466415405,1.4699758291244507,0.0,0.0,4.07456636428833
9,2,False,nl,807,0.024138577996604786,0.4934957288706698,1.8901167184598568,0.40644361833952913,1.2085437759838025,0.0,0.0,4.0,0.7445698976516724,1.4428503513336182,0.0,0.0,4.003837585449219
10,2,False,ul,362,-0.02274548608104369,0.6662346416614019,0.6185559777831847,0.03314917127071823,0.2553418786362728,0.0,0.0,2.0,0.0970594510436058,0.5539788603782654,0.0,0.0,3.731534242630005
11,2,False,all,2076,0.049822963898843706,0.02319948636743076,1.8991449078664846,0.558766859344894,1.3824927994878673,0.0,0.0,4.0,0.6583448052406311,1.3689929246902466,0.0,0.0,4.07456636428833
12,2,True,ol,585,0.9954145924497609,0.0,0.15970557928380028,0.3282051282051282,1.0977713362264327,0.0,0.0,4.0,0.29113322496414185,0.9782599806785583,0.0,0.0,4.035513401031494
13,2,True,nl,592,0.9878368214979416,0.0,0.13787262626255845,0.13513513513513514,0.7226887544389696,0.0,0.0,4.0,0.11747754365205765,0.6359935402870178,0.0,0.0,3.8835508823394775
14,2,True,ul,345,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2,True,all,1522,0.9932743202668435,0.0,0.13113820163559992,0.17871222076215507,0.8263841874085437,0.0,0.0,4.0,0.15759503841400146,0.7336705923080444,0.0,0.0,4.035513401031494
16,3,False,ol,1497,0.04732414551972173,0.06717242405679683,2.39993045088061,0.9752839011356046,1.7175438616606375,0.0,0.0,4.0,1.1865861415863037,1.7461137771606445,0.0,0.0,3.9028446674346924
17,3,False,nl,1290,0.1381711504051583,6.301665604479445e-07,2.0157249767036385,0.47751937984496123,1.2969397677811905,0.0,0.0,4.0,0.9750648140907288,1.6508163213729858,0.0,0.0,3.8848845958709717
18,3,False,ul,2031,0.2602118646591551,8.698349287066837e-33,0.9868329763786051,0.2639094042343673,0.6768830289092761,0.0,0.0,2.0,0.2614896893501282,0.9155149459838867,0.0,0.0,3.858067750930786
19,3,False,all,4818,0.1590308159992848,1.1663866062493654e-28,1.8132822404153393,0.5421336654213367,1.2853508424851106,0.0,0.0,4.0,0.739983081817627,1.484451413154602,0.0,0.0,3.9028446674346924
20,3,True,ol,918,0.9986127016713523,0.0,0.11953917321216613,0.5664488017429193,1.3946078165476088,0.0,0.0,4.0,0.5296512842178345,1.3058232069015503,0.0,0.0,3.875540018081665
21,3,True,nl,932,0.999963387810002,0.0,0.059228063678705624,0.27896995708154504,1.0188501319488066,0.0,0.0,4.0,0.26348045468330383,0.9623147249221802,0.0,0.0,3.8462681770324707
22,3,True,ul,1751,0.9907334021954085,0.0,0.2679994835661891,0.08223872073101085,0.3971325147536381,0.0,0.0,2.0,0.13354142010211945,0.6509060263633728,0.0,0.0,3.78393816947937
23,3,True,all,3601,0.9780910923792915,0.0,0.1986839698742332,0.25659539016939736,0.9383829615207755,0.0,0.0,4.0,0.26815181970596313,0.9521768093109131,0.0,0.0,3.875540018081665
24,4,False,ol,1497,0.06164328731086534,0.01706417933797605,2.4230876548986324,0.9752839011356046,1.7175438616606375,0.0,0.0,4.0,1.3604623079299927,1.7744803428649902,0.0,0.0,3.9356677532196045
25,4,False,nl,1317,0.09077257803643769,0.0009742332880307471,1.6567532801925098,0.4677296886864085,1.285358974398572,0.0,0.0,4.0,0.4232772886753082,1.1675419807434082,0.0,0.0,3.9257266521453857
26,4,False,ul,2074,0.2402782606911999,1.2692976579265316e-28,1.0066660098270583,0.25843780135004824,0.670884122284504,0.0,0.0,2.0,0.28471532464027405,0.9283921122550964,0.0,0.0,3.9167919158935547
27,4,False,all,4888,0.16963079843506923,7.043956977223627e-33,1.7227004631332987,0.5343698854337152,1.277738535454376,0.0,0.0,4.0,0.6515073180198669,1.3865034580230713,0.0,0.0,3.9356677532196045
28,4,True,ol,881,0.9979365192193937,0.0,0.15250738882722167,0.6946651532349603,1.5152890608134444,0.0,0.0,4.0,0.643450915813446,1.4064764976501465,0.0,0.0,3.9356677532196045
29,4,True,nl,1068,0.9967021360211135,0.0,0.07438462280957871,0.11235955056179775,0.6609187042630446,0.0,0.0,4.0,0.10303019732236862,0.6080471277236938,0.0,0.0,3.8739709854125977
30,4,True,ul,1778,0.9922398120612491,0.0,0.2230431030063926,0.08661417322834646,0.4070949906995453,0.0,0.0,2.0,0.13020063936710358,0.6167415976524353,0.0,0.0,3.868929862976074
31,4,True,all,3727,0.9809665657959874,0.0,0.17554576493940854,0.2377247115642608,0.9009692639506994,0.0,0.0,4.0,0.24373848736286163,0.896996796131134,0.0,0.0,3.9356677532196045
32,5,False,ol,1472,-0.09502137135575561,0.00026140643009716816,2.701317292561379,0.9510869565217391,1.702874460205793,0.0,0.0,4.0,1.5757718086242676,1.846494436264038,0.0,0.0,3.95820951461792
33,5,False,nl,960,0.07957675858773919,0.013651871278462976,1.9389989790608024,0.5125,1.3369157602481914,0.0,0.0,4.0,0.7705768942832947,1.4909768104553223,0.0,0.0,4.013750076293945
34,5,False,ul,1770,0.08236147958858833,0.0005233603031073883,1.6646465972453988,0.24519774011299436,0.6559523980209763,0.0,0.0,2.0,0.7679377794265747,1.4929262399673462,0.0,0.0,4.106622695922852
35,5,False,all,4202,0.03581811468967175,0.02023907640891982,2.1406648053288486,0.5535459305092812,1.3043014697701605,0.0,0.0,4.0,1.0515326261520386,1.6701198816299438,0.0,0.0,4.106622695922852
36,5,True,ol,735,0.9920882156615277,0.0,0.21532829396504383,0.6530612244897959,1.4784302266346805,0.0,0.0,4.0,0.6007742285728455,1.3709067106246948,0.0,0.0,3.9518184661865234
37,5,True,nl,705,0.9919170435031087,0.0,0.13888778961124643,0.2099290780141844,0.8919899630942336,0.0,0.0,4.0,0.1884397715330124,0.8072064518928528,0.0,0.0,3.9575486183166504
38,5,True,ul,1309,0.9941674369118619,0.0,0.3707279558670092,0.10084033613445378,0.4376207249173626,0.0,0.0,2.0,0.1818355768918991,0.7937484979629517,0.0,0.0,3.969590902328491
39,5,True,all,2749,0.9580768442840688,0.0,0.28773046573130345,0.27646416878865043,0.9661207568108972,0.0,0.0,4.0,0.2955408990383148,1.001802682876587,0.0,0.0,3.969590902328491
40,6,False,ol,1497,-0.019551634042561262,0.449700597009211,2.4689074155201536,0.9752839011356046,1.7175438616606375,0.0,0.0,4.0,1.0869121551513672,1.7367902994155884,0.0,0.0,4.032683849334717
41,6,False,nl,1317,0.023662480703722746,0.390877075358379,1.663273116997872,0.4677296886864085,1.285358974398572,0.0,0.0,4.0,0.33138716220855713,1.0776329040527344,0.0,0.0,4.02325439453125
42,6,False,ul,2097,0.23768658781726812,2.5497421064242e-28,0.766864581023897,0.25560324272770624,0.6677375740232788,0.0,0.0,2.0,0.08622759580612183,0.5311492085456848,0.0,0.0,3.9693684577941895
43,6,False,all,4911,0.10002236526847062,2.1367014328027273e-12,1.6885124888505394,0.5318672368153126,1.2752649560352989,0.0,0.0,4.0,0.457007497549057,1.239058494567871,0.0,0.0,4.032683849334717
44,6,True,ol,903,0.998381496180955,0.0,0.08128898053754961,0.42967884828349945,1.2385844664259935,0.0,0.0,4.0,0.41516685485839844,1.1986924409866333,0.0,0.0,4.018925189971924
45,6,True,nl,1080,0.9983652919038077,0.0,0.031431975671263955,0.05925925925925926,0.48324463497185444,0.0,0.0,4.0,0.05724547058343887,0.46758702397346497,0.0,0.0,4.0209808349609375
46,6,True,ul,1839,0.9830580345106155,0.0,0.20273995826992217,0.03588907014681892,0.26549974564514106,0.0,0.0,2.0,0.060629382729530334,0.4562532603740692,0.0,0.0,3.9693684577941895
47,6,True,all,3822,0.9793172204876406,0.0,0.1470299525915707,0.13553113553113552,0.6994418930450437,0.0,0.0,4.0,0.14343751966953278,0.7240620255470276,0.0,0.0,4.0209808349609375
48,7,False,ol,1497,-0.005801919621924925,0.8225262626506373,2.237296947909595,0.9752839011356046,1.7175438616606375,0.0,0.0,4.0,0.6239638924598694,1.3800761699676514,0.0,0.0,3.9264161586761475
49,7,False,nl,1317,0.1936281466836789,1.366903605710188e-12,1.4685419175364132,0.4677296886864085,1.285358974398572,0.0,0.0,4.0,0.2905128002166748,0.9803212881088257,0.0,0.0,3.882129430770874
50,7,False,ul,2038,0.09488427764079774,1.7824648436811052e-05,0.8260300240373164,0.26300294406280667,0.6758959531909549,0.0,0.0,2.0,0.07672569900751114,0.5056111812591553,0.0,0.0,3.8690409660339355
51,7,False,all,4852,0.11283718903229928,3.1965888766608373e-15,1.554457460871707,0.5383347073371806,1.2816375281620862,0.0,0.0,4.0,0.3035956919193268,1.0045901536941528,0.0,0.0,3.9264161586761475
52,7,True,ol,998,0.9958837819271453,0.0,0.1176978979099574,0.24448897795591182,0.9582176430653535,0.0,0.0,4.0,0.22304603457450867,0.8777902126312256,0.0,0.0,3.9237890243530273
53,7,True,nl,1123,0.9968651987939976,0.0,0.07503995487490263,0.12110418521816563,0.6853834818518073,0.0,0.0,4.0,0.1113719567656517,0.6322864890098572,0.0,0.0,3.882129430770874
54,7,True,ul,1759,0.9897527044639993,0.0,0.10797136466156607,0.02046617396247868,0.20127961558065166,0.0,0.0,2.0,0.030474351719021797,0.3028104901313782,0.0,0.0,3.6233882904052734
55,7,True,all,3880,0.9874236019705543,0.0,0.10236229672809344,0.10721649484536082,0.6315171427472023,0.0,0.0,4.0,0.1034213975071907,0.6013166904449463,0.0,0.0,3.9237890243530273
56,8,False,ol,1490,-0.0327795218948681,0.2060203322856733,2.549281943725493,0.9610738255033557,1.7089857822538395,0.0,0.0,4.0,1.2983447313308716,1.806127667427063,0.0,0.0,4.005674362182617
57,8,False,nl,510,0.21312515792824174,1.190887872903486e-06,1.6477810972046463,0.5647058823529412,1.3928139846539993,0.0,0.0,4.0,0.45796826481819153,1.2198686599731445,0.0,0.0,3.959604263305664
58,8,False,ul,1918,0.06525570821112717,0.004249027676396815,0.9183580382436675,0.2794577685088634,0.6934110560394702,0.0,0.0,2.0,0.11142247170209885,0.6252267956733704,0.0,0.0,3.962980031967163
59,8,False,all,3918,0.10820426757605722,1.1157949575554662e-11,1.7993829444825127,0.5758039816232772,1.3030950529659335,0.0,0.0,4.0,0.6079136729240417,1.3894283771514893,0.0,0.0,4.005674362182617
60,8,True,ol,848,0.9973656880054992,0.0,0.12324407013477791,0.5330188679245284,1.3593992636950216,0.0,0.0,4.0,0.503677248954773,1.2879598140716553,0.0,0.0,3.9948112964630127
61,8,True,nl,416,0.998231612440302,0.0,0.07151800149439708,0.20192307692307693,0.8757393326202864,0.0,0.0,4.0,0.1902470588684082,0.8265621662139893,0.0,0.0,3.953554630279541
62,8,True,ul,1626,0.9855855179209955,0.0,0.13524119548319882,0.02214022140221402,0.20926120854255095,0.0,0.0,2.0,0.03505055606365204,0.3361300230026245,0.0,0.0,3.961276054382324
63,8,True,all,2890,0.9894210834380497,0.0,0.12443360778899648,0.19792387543252596,0.8529994996799151,0.0,0.0,4.0,0.1948973387479782,0.8312721848487854,0.0,0.0,3.9948112964630127
64,9,False,ol,597,0.007458512079508123,0.8556935632270697,2.4242006929269904,1.11892797319933,1.7954698782183336,0.0,0.0,4.0,0.960203230381012,1.6345093250274658,0.0,0.0,3.910151958465576
