,participant,filtered,samples,coefficient,RMSE,actualMean,actualStDev,predMean,predStDev
0,1,False,5545,0.04082909010285347,1.7202622856842618,0.4710550045085663,1.2120230521116615,0.523849606513977,1.2701265811920166
1,1,True,288,0.9382997102235942,0.6377652947770391,1.6666666666666667,1.795054935711501,1.769115924835205,1.7886614799499512
2,2,False,4797,0.08864658515656748,1.7873852525595246,0.5378361475922452,1.2800796321914134,0.5948379039764404,1.3647818565368652
3,2,True,346,0.930439890911398,0.7279788362187231,1.7283236994219653,1.8392496803175378,1.907252311706543,1.92031991481781
4,3,False,5590,0.1484957403910543,1.788130536787062,0.46726296958855096,1.2078684431375366,0.7301105856895447,1.4837969541549683
5,3,True,534,0.9618202658318759,0.5123341156577571,1.7303370786516854,1.840640124020245,1.8042231798171997,1.827488899230957
6,4,False,5495,0.16525871314081633,1.6761386825888511,0.47534121929026385,1.2166877825409856,0.6318646669387817,1.360827088356018
7,4,True,520,0.9652542813538616,0.47759234161752756,1.7038461538461538,1.8220826564951962,1.7410191297531128,1.7619633674621582
8,5,False,4787,0.05007589903199175,2.036321534198794,0.49174848548151245,1.242518792070243,0.9596369862556458,1.6074399948120117
9,5,True,446,0.9273859079733041,0.7002501305578497,1.704035874439462,1.8222176009632085,1.7975999116897583,1.8198119401931763
10,6,False,5302,0.10316757292848422,1.622398504216292,0.4926442851754055,1.235188607195476,0.4284096658229828,1.1850696802139282
11,6,True,292,0.9601895375326556,0.5285770964331925,1.773972602739726,1.8699884548219001,1.8340857028961182,1.8493880033493042
12,7,False,5378,0.12052785530787172,1.4909702217581144,0.4856824098177761,1.2278076518296355,0.28809213638305664,0.9836513996124268
13,7,True,234,0.9673692272707115,0.48098497166523585,1.811965811965812,1.894353390490261,1.7917869091033936,1.8087817430496216
14,8,False,4358,0.10891292537907277,1.7371071966222058,0.5176686553464892,1.2476816052765838,0.5827874541282654,1.3504080772399902
15,8,True,304,0.9829477681742673,0.3643759610123315,1.881578947368421,1.9362681500841952,1.8289216756820679,1.8464611768722534
16,9,False,4300,0.07726961775864005,1.4023948268633573,0.4232558139534884,1.1245334348907232,0.2419111132621765,0.9095709323883057
17,9,True,118,0.9715081573027684,0.45627292911109457,1.8305084745762712,1.905856650423132,1.784771203994751,1.8061625957489014
18,10,False,5430,0.09556280535975903,1.6410801350160087,0.48103130755064455,1.2228296611692515,0.49542805552482605,1.2174386978149414
19,10,True,348,0.9781456493559064,0.4160984663463056,1.7471264367816093,1.8521090234077615,1.6442610025405884,1.6922141313552856
20,11,False,5259,0.06250801083106874,1.7727954099900352,0.5027571781707549,1.2522434722561135,0.5705282688140869,1.333752989768982
21,11,True,292,0.990382858924719,0.28123335598881366,1.8904109589041096,1.9413428754034932,1.837023138999939,1.8586405515670776
22,12,False,5365,0.08456050767380602,1.737888005022044,0.4972972972972973,1.243601390935227,0.5844337940216064,1.3205509185791016
23,12,True,364,0.9751938358837383,0.4209633303331927,1.7802197802197801,1.8740694265242466,1.7419073581695557,1.7670979499816895
24,13,False,5263,0.050044654375102346,1.7639540609960414,0.5069352080562417,1.2536473001920152,0.5722731351852417,1.3035321235656738
25,13,True,322,0.9585560571220094,0.5505215717550046,1.7826086956521738,1.8756221400106947,1.6769859790802002,1.7181135416030884
26,14,False,5292,0.09916132496822336,1.7446995511862133,0.5030234315948602,1.250317542818134,0.5815313458442688,1.3445940017700195
