wav_filename,wav_length,transcript
/scratch/customtraining/data-ignore-v1/train/samples/sample-1.wav,36864,ignore uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-2.wav,41984,ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-3.wav,58368,ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-4.wav,53248,ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-5.wav,69632,ignore ignore ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-6.wav,45056,ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-7.wav,47104,ignore uh ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-8.wav,65536,ignore ignore ignore ignore ignore ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-9.wav,55296,ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-10.wav,45056,um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-11.wav,63488,ignore ignore ignore ignore ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-12.wav,64512,ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-13.wav,77824,ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-14.wav,69632,ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-15.wav,58368,ignore ignore um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-16.wav,37888,ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-17.wav,63488,ignore ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-18.wav,56320,ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-19.wav,59392,ignore ignore ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-20.wav,82944,ignore ignore ignore ignore um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-21.wav,48128,ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-22.wav,79872,ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-23.wav,67584,ignore ignore ignore ignore um ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-24.wav,58368,ignore ignore ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-25.wav,78848,ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-26.wav,52224,ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-27.wav,94208,ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-28.wav,62464,ignore ignore ignore um ignore ignore ignore ignore ignore ignore 
