participant, condition, time, judgement
p10, nl, 299.17, 
p10, nl, 299.2, 
p10, nl, 601.76, 
p10, nl, 904.34, 
p10, nl, 909.5, 
p10, nl, 932.38, 
p10, ol, 4.95, 
p10, ol, 16.5, 
p10, ol, 17.78, 
p10, ol, 34.89, 
p10, ol, 44.65, 
p10, ol, 325.69, 
p10, ol, 331.62, 
p10, ol, 634.83, 
p10, ol, 638.58, 
p10, ol, 642.35, 
p10, ol, 852.3, 
p10, ul, 315.02, 
p10, ul, 319.12, 
p10, ul, 602.92, 
p10, ul, 605.54, 
p10, ul, 899.3, 
p10, ul, 901.66, 
p10, ul, 911.04, 
p10, ul, 915.09, 
p10, ul, 915.15, 
p11, nl, 561.07, 
p11, nl, 585.1, 
p11, nl, 683.24, 
p11, nl, 915.46, 
p11, ol, 605.0, 
p12, nl, 110.21, 
p12, nl, 233.06, 
p12, nl, 569.06, 
p12, nl, 841.66, 
p12, ol, 71.59, 
p12, ol, 86.66, 
p12, ol, 87.73, 
p12, ol, 118.79, 
p12, ol, 153.15, 
p12, ol, 181.14, 
p12, ol, 249.91, 
p12, ol, 263.68, 
p12, ol, 265.1, 
p12, ol, 267.46, 
p12, ol, 331.23, 
p12, ol, 331.47, 
p12, ol, 388.78, 
p12, ol, 447.07, 
p12, ol, 459.58, 
p12, ol, 556.08, 
p12, ol, 556.54, 
p12, ol, 557.16, 
p12, ol, 580.59, 
p12, ol, 639.58, 
p12, ol, 689.46, 
p12, ol, 693.71, 
p12, ol, 729.87, 
p12, ol, 806.02, 
p12, ol, 836.64, 
p12, ol, 890.15, 
p12, ol, 960.35, 
p12, ol, 961.27, 
p12, ol, 961.73, 
p12, ul, 893.56, 
p13, nl, 107.62, 
p13, nl, 216.27, 
p13, nl, 506.69, 
p13, nl, 511.64, 
p13, nl, 561.78, 
p13, nl, 584.38, 
p13, nl, 587.0, 
p13, nl, 587.17, 
p13, ol, 21.63, 
p13, ol, 87.08, 
p13, ol, 110.21, 
p13, ol, 112.37, 
p13, ol, 118.32, 
p13, ol, 261.78, 
p13, ol, 263.34, 
p13, ol, 290.99, 
p13, ol, 294.95, 
p13, ol, 297.67, 
p13, ol, 300.13, 
p13, ol, 303.33, 
p13, ol, 332.04, 
p13, ol, 394.07, 
p13, ol, 490.01, 
p13, ol, 492.24, 
p13, ol, 493.05, 
p13, ol, 506.63, 
p13, ol, 591.96, 
p13, ol, 594.38, 
p13, ol, 658.38, 
p13, ol, 658.8, 
p13, ol, 659.4, 
p13, ol, 759.43, 
p13, ol, 788.31, 
p13, ol, 830.4, 
p13, ol, 832.73, 
p13, ol, 848.19, 
p13, ol, 885.16, 
p13, ol, 887.51, 
p13, ol, 890.03, 
p13, ol, 916.18, 
p13, ol, 916.92, 
p13, ul, 107.62, 
p13, ul, 216.03, 
p13, ul, 216.29, 
p13, ul, 470.79, 
p13, ul, 472.82, 
p13, ul, 506.69, 
p13, ul, 511.65, 
p13, ul, 561.79, 
p13, ul, 577.48, 
p13, ul, 587.03, 
p14, ol, 3.28, 
p14, ol, 6.0, 
p14, ol, 21.45, 
p14, ol, 168.4, 
p14, ol, 169.75, 
p14, ol, 179.28, 
p14, ol, 186.52, 
p14, ol, 231.05, 
p14, ol, 297.41, 
p14, ol, 297.54, 
p14, ol, 299.91, 
p14, ol, 301.59, 
p14, ol, 315.44, 
p14, ol, 347.29, 
p14, ol, 430.1, 
p14, ol, 452.36, 
p14, ol, 559.41, 
p14, ol, 595.62, 
p14, ol, 595.75, 
p14, ol, 714.37, 
p14, ol, 740.51, 
p14, ol, 831.2, 
p14, ol, 893.37, 
p14, ol, 893.73, 
p14, ol, 896.65, 
p14, ol, 898.14, 
p14, ol, 898.23, 
p14, ol, 900.01, 
p14, ul, 28.36, 
p14, ul, 28.67, 
p14, ul, 28.87, 
p14, ul, 34.77, 
p14, ul, 167.14, 
p14, ul, 174.78, 
p14, ul, 174.9, 
p14, ul, 174.98, 
p14, ul, 175.31, 
p14, ul, 294.36, 
p14, ul, 297.32, 
p14, ul, 315.68, 
p14, ul, 359.26, 
p14, ul, 466.33, 
p14, ul, 588.04, 
p14, ul, 588.29, 
p14, ul, 598.12, 
p14, ul, 599.43, 
p14, ul, 604.63, 
p14, ul, 780.11, 
p14, ul, 886.86, 
p14, ul, 889.34, 
p16, nl, 622.7, 
p16, nl, 622.9, 
p16, ol, 6.19, 
p16, ol, 6.28, 
p16, ol, 53.39, 
p16, ol, 69.58, 
p16, ol, 244.58, 
p16, ol, 288.83, 
p16, ol, 309.25, 
p16, ol, 311.46, 
p16, ul, 72.29, 
p16, ul, 606.71, 
p17, nl, 293.39, 
p17, ol, 375.89, 
p17, ul, 285.07, 
p17, ul, 296.28, 
p18, nl, 588.36, 
p18, nl, 883.7, 
p18, ol, 874.92, 
p19, nl, 550.37, 
p19, nl, 667.83, 
p19, ol, 47.21, 
p19, ol, 195.99, 
p19, ol, 223.84, 
p19, ol, 261.25, 
p19, ol, 316.32, 
p19, ol, 361.48, 
p19, ol, 378.15, 
p19, ol, 414.15, 
p19, ol, 560.02, 
p19, ol, 675.69, 
p19, ol, 708.63, 
p19, ol, 718.17, 
p19, ol, 719.02, 
p19, ol, 742.64, 
p19, ol, 743.62, 
p19, ol, 771.93, 
p19, ol, 831.59, 
p19, ol, 932.88, 
p19, ol, 974.79, 
p1, nl, 243.3, 
p1, nl, 472.85, 
p1, nl, 632.1, 
p1, nl, 946.5, 
p1, ol, 70.34, 
p1, ol, 75.96, 
p1, ol, 87.98, 
p1, ol, 129.34, 
p1, ol, 181.71, 
p1, ol, 185.23, 
p1, ol, 203.47, 
p1, ol, 315.78, 
p1, ol, 322.57, 
p1, ol, 415.08, 
p1, ol, 532.22, 
p1, ol, 579.63, 
p1, ol, 579.72, 
p1, ol, 581.05, 
p1, ol, 581.37, 
p1, ol, 621.35, 
