participant,condition,time,judgement
p1, nl,243.3,1
p1, nl,472.85,1
p1, nl,632.1,1
p1, nl,946.5,1
p1, ol,70.34,1
p1, ol,75.96,1
p1, ol,87.98,1
p1, ol,129.34,0
p1, ol,181.71,0
p1, ol,185.23,1
p1, ol,203.47,1
p1, ol,315.78,1
p1, ol,322.57,1
p1, ol,415.08,0
p1, ol,532.22,0
p1, ol,579.63,1
p1, ol,579.72,1
p1, ol,581.05,1
p1, ol,581.37,1
p1, ol,621.35,1
p1, ol,628.31,1
p1, ol,935.52,1
p1, ol,965.63,1
p1, ol,967.56,1
p1, ul,493.77,1
p1, ul,612.56,1
p1, ul,923.95,1
p2, nl,53.13,1
p2, nl,581.13,1
p2, nl,804.73,1
p2, ol,301.74,1
p2, ol,534.54,1
p2, ol,535.02,1
p2, ol,952.77,1
p2, ol,952.87,1
p2, ol,970.61,1
p2, ol,1018.07,-1
p3, nl,91.09,1
p3, nl,117.24,1
p3, nl,143.56,1
p3, nl,147.5,1
p3, nl,179.52,-1
p3, nl,266.06,1
p3, nl,281.13,1
p3, nl,329.09,1
p3, nl,332.91,1
p3, nl,333.14,1
p3, nl,348.29,1
p3, nl,349.52,1
p3, nl,356.06,1
p3, nl,389.8,0
p3, nl,429.62,1
p3, nl,432.12,1
p3, nl,444.59,1
p3, nl,510.56,0
p3, nl,520.99,1
p3, nl,550.79,1
p3, nl,564.91,1
p3, nl,593.04,1
p3, nl,632.4,1
p3, nl,641.69,1
p3, nl,652.2,1
p3, nl,652.25,1
p3, nl,655.72,1
p3, nl,690.42,1
p3, nl,694.04,1
p3, nl,760.02,0
p3, nl,775.03,-1
p3, nl,785.59,1
p3, nl,794.16,1
p3, nl,814.83,1
p3, nl,816.63,0
p3, nl,827.42,1
p3, nl,830.07,0
p3, nl,856.68,-1
p3, nl,874.86,1
p3, nl,878.53,-1
p3, nl,901.39,1
p3, nl,938.41,1
p3, nl,942.44,1
p3, nl,957.33,1
p3, nl,963.4,1
p3, nl,967.44,1
p3, nl,986.58,-1
p3, nl,1007.27,1
p3, nl,1094.97,1
p3, ol,91.09,1
p3, ol,117.23,1
p3, ol,266.06,1
p3, ol,281.13,1
p3, ol,349.52,1
p3, ol,356.06,1
p3, ol,389.8,0
p3, ol,429.62,1
p3, ol,432.12,1
p3, ol,444.61,1
p3, ol,520.95,1
p3, ol,550.79,1
p3, ol,554.54,0
p3, ol,564.91,1
p3, ol,593.03,1
p3, ol,652.2,1
p3, ol,652.25,1
p3, ol,655.72,1
p3, ol,690.41,1
p3, ol,760.02,1
p3, ol,760.39,1
p3, ol,785.59,1
p3, ol,794.16,1
p3, ol,814.83,1
p3, ol,816.63,1
p3, ol,827.42,1
p3, ol,830.07,0
p3, ol,856.68,-1
p3, ol,874.86,1
p3, ol,878.52,0
p3, ol,890.34,1
p3, ol,901.39,1
p3, ol,957.27,1
p3, ol,957.31,1
p3, ol,963.4,1
p3, ol,967.43,1
p3, ol,1007.27,1
p3, ol,1094.97,1
p3, ul,323.16,1
p3, ul,326.3,1
