time,meanIntensity,stDevIntensity,meanPitch,stDevPitch,stDevVoiceActivity,meanVoiceActivity,syllablesPerSecond,filledPauses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,221.81561184225265,109.10235641888615,0.0,0.0,0.0,0.0,0.0,0.0
6.0,213.45452146138635,103.51475563260031,0.0,0.0,0.0,0.0,0.0,0.0
7.0,204.90320252779492,103.44188776077762,0.0,0.0,0.0,0.0,0.0,0.0
8.0,171.34043303619973,51.933023696663604,0.0,0.0,0.0,0.0,0.0,0.0
9.0,167.5493719413897,49.86732211686411,0.0,0.0,0.0,0.0,0.0,0.0
10.0,176.06213385337972,62.69235905407914,0.0,0.0,0.0,0.0,0.0,0.0
11.0,328.22290120235505,576.442185083242,0.0,0.0,0.2179449471770337,0.05,0.6,0.0
12.0,369.83668229556383,582.1367059864274,0.0,0.0,0.25514701644346144,0.07,0.8,0.0
13.0,363.1511757219389,584.631349727152,0.0,0.0,0.2584879107424562,0.072,0.8,0.0
14.0,359.27635251113537,586.137069224072,0.0,0.0,0.2584879107424562,0.072,0.8,0.0
15.0,346.41554524513595,588.9784986876601,0.0,0.0,0.2584879107424562,0.072,0.8,0.0
16.0,179.88654901658248,150.61625151312896,147.58291675571553,8.884137012458222,0.14668333238647122,0.022,0.2,0.0
17.0,155.02597416030056,73.55757831445077,0.0,0.0,0.0,0.0,0.0,0.0
18.0,178.30886223612404,88.02982007112749,0.0,0.0,0.0,0.0,0.0,0.0
19.0,197.20784803232416,93.87584925126205,0.0,0.0,0.0,0.0,0.0,0.0
20.0,223.74634871813512,111.57323648890355,0.0,0.0,0.0,0.0,0.0,0.0
21.0,233.14633166039258,114.70396309568177,0.0,0.0,0.0,0.0,0.0,0.0
22.0,215.2508890176469,112.59592503497751,0.0,0.0,0.0,0.0,0.0,0.0
23.0,193.91630511308892,108.39161433431748,0.0,0.0,0.0,0.0,0.0,0.0
24.0,170.91622189173586,104.96658285389506,0.0,0.0,0.0,0.0,0.0,0.0
25.0,136.81971291622466,64.15742702745052,0.0,0.0,0.0,0.0,0.0,0.0
26.0,119.89684285522843,36.18250322409732,0.0,0.0,0.0,0.0,0.0,0.0
27.0,113.93475681864442,19.13799565171994,0.0,0.0,0.0,0.0,0.0,0.0
28.0,123.03457029629502,66.71890989369403,0.0,0.0,0.0,0.0,0.0,0.0
29.0,122.71213218976109,66.75099079543884,0.0,0.0,0.0,0.0,0.0,0.0
30.0,136.64848664373454,79.84923504316981,0.0,0.0,0.0,0.0,0.0,0.0
31.0,139.35029430053757,79.42398454201624,0.0,0.0,0.0,0.0,0.0,0.0
32.0,137.01105063602148,79.19411629800076,0.0,0.0,0.0,0.0,0.0,0.0
