time,speechWorkload,condition
0,0.0,low
1,0.0,low
2,0.0,low
3,0.0,low
4,0.0,low
5,0.0,low
6,0.0,low
7,4.0,low
8,4.0,low
9,4.0,low
10,4.0,low
11,4.0,low
12,4.0,low
13,4.0,low
14,4.0,low
15,4.0,low
16,0.0,low
17,0.0,low
18,0.0,low
19,4.0,low
20,4.0,low
21,0.0,low
22,0.0,low
23,4.0,low
24,0.0,low
25,0.0,low
26,0.0,low
27,0.0,low
28,0.0,low
29,0.0,low
30,0.0,low
31,0.0,low
32,0.0,low
33,0.0,low
34,0.0,low
35,0.0,low
36,0.0,low
37,0.0,low
38,0.0,low
39,0.0,low
40,0.0,low
41,0.0,low
42,0.0,low
43,0.0,low
44,0.0,low
45,0.0,low
46,0.0,low
47,0.0,low
48,4.0,low
49,4.0,low
50,0.0,low
51,0.0,low
52,0.0,low
53,0.0,low
54,0.0,low
55,0.0,low
56,0.0,low
57,0.0,low
58,0.0,low
59,0.0,low
60,0.0,low
61,0.0,low
62,0.0,low
63,0.0,low
64,0.0,low
65,0.0,low
66,0.0,low
67,0.0,low
68,0.0,low
69,0.0,low
70,0.0,low
71,0.0,low
72,0.0,low
73,0.0,low
74,0.0,low
75,0.0,low
76,0.0,low
77,0.0,low
78,0.0,low
79,0.0,low
80,0.0,low
81,0.0,low
82,0.0,low
83,0.0,low
84,0.0,low
85,0.0,low
86,0.0,low
87,0.0,low
88,0.0,low
89,0.0,low
90,0.0,low
91,0.0,low
92,0.0,low
93,0.0,low
94,0.0,low
95,0.0,low
96,0.0,low
97,0.0,low
98,0.0,low
99,0.0,low
100,0.0,low
101,0.0,low
102,0.0,low
103,4.0,low
104,4.0,low
105,4.0,low
106,4.0,low
107,4.0,low
108,4.0,low
109,4.0,low
110,4.0,low
111,0.0,low
112,0.0,low
113,0.0,low
114,0.0,low
115,0.0,low
116,0.0,low
117,0.0,low
118,0.0,low
119,0.0,low
120,0.0,low
121,0.0,low
122,4.0,low
123,4.0,low
124,4.0,low
125,4.0,low
126,4.0,low
127,0.0,low
128,0.0,low
129,0.0,low
130,0.0,low
131,0.0,low
132,0.0,low
133,0.0,low
134,0.0,low
135,0.0,low
136,0.0,low
137,0.0,low
138,0.0,low
139,0.0,low
140,0.0,low
141,0.0,low
142,0.0,low
143,0.0,low
144,0.0,low
145,0.0,low
146,0.0,low
147,0.0,low
148,0.0,low
149,0.0,low
150,0.0,low
151,0.0,low
152,0.0,low
153,0.0,low
154,0.0,low
155,0.0,low
156,0.0,low
157,0.0,low
158,0.0,low
159,0.0,low
160,0.0,low
161,0.0,low
162,0.0,low
163,0.0,low
164,0.0,low
165,0.0,low
166,0.0,low
167,0.0,low
168,0.0,low
169,0.0,low
170,0.0,low
171,0.0,low
172,0.0,low
173,0.0,low
174,0.0,low
175,0.0,low
176,0.0,low
177,0.0,low
178,4.0,low
179,4.0,low
180,4.0,low
181,4.0,low
182,4.0,low
183,4.0,low
184,4.0,low
185,4.0,low
186,0.0,low
187,0.0,low
188,0.0,low
189,0.0,low
190,0.0,low
191,0.0,low
192,0.0,low
193,0.0,low
194,0.0,low
195,0.0,low
196,0.0,low
197,0.0,low
198,0.0,low
199,0.0,low
200,0.0,low
201,0.0,low
202,0.0,low
203,0.0,low
204,0.0,low
205,0.0,low
206,0.0,low
207,0.0,low
208,0.0,low
209,0.0,low
210,0.0,low
211,0.0,low
212,0.0,low
213,0.0,low
214,0.0,low
215,0.0,low
216,0.0,low
217,0.0,low
218,0.0,low
219,0.0,low
220,0.0,low
221,0.0,low
222,0.0,low
223,0.0,low
224,0.0,low
225,0.0,low
226,0.0,low
227,0.0,low
228,0.0,low
229,0.0,low
230,0.0,low
231,0.0,low
232,0.0,low
233,0.0,low
234,0.0,low
235,0.0,low
236,0.0,low
237,0.0,low
238,0.0,low
239,0.0,low
240,0.0,low
241,0.0,low
242,4.0,low
243,4.0,low
244,0.0,low
245,4.0,low
246,4.0,low
247,4.0,low
248,4.0,low
249,4.0,low
250,4.0,low
251,0.0,low
252,0.0,low
253,0.0,low
254,0.0,low
255,0.0,low
256,0.0,low
257,2.0,low
258,0.0,low
259,0.0,low
260,0.0,low
261,0.0,low
262,0.0,low
263,0.0,low
264,0.0,low
265,0.0,low
266,0.0,low
267,0.0,low
268,0.0,low
269,0.0,low
270,2.0,low
271,2.0,low
272,2.0,low
273,2.0,low
274,2.0,low
275,2.0,low
276,2.0,low
277,2.0,low
278,2.0,low
279,2.0,low
280,2.0,low
281,2.0,low
282,0.0,low
283,0.0,low
284,0.0,low
285,0.0,low
286,0.0,low
287,0.0,low
288,0.0,low
289,0.0,low
290,0.0,low
291,0.0,low
292,0.0,low
293,0.0,low
294,0.0,low
295,0.0,low
296,0.0,low
297,0.0,low
298,0.0,low
299,0.0,low
300,0.0,low
301,0.0,low
302,0.0,low
303,0.0,low
304,0.0,low
305,0.0,low
306,0.0,low
307,0.0,low
308,0.0,low
309,0.0,low
310,0.0,low
311,0.0,low
312,0.0,low
313,0.0,low
314,0.0,low
315,0.0,low
316,0.0,low
317,0.0,low
318,0.0,low
319,0.0,low
320,0.0,low
321,0.0,low
322,0.0,low
323,0.0,low
324,0.0,low
325,0.0,low
326,0.0,low
327,0.0,low
328,0.0,low
329,0.0,low
330,0.0,low
331,0.0,low
332,0.0,low
333,0.0,low
334,0.0,low
335,0.0,low
336,0.0,low
337,0.0,low
338,0.0,low
339,0.0,low
340,0.0,low
341,0.0,low
342,0.0,low
343,0.0,low
344,0.0,low
345,0.0,low
346,0.0,low
347,0.0,low
348,0.0,low
349,0.0,low
350,0.0,low
351,0.0,low
352,0.0,low
353,0.0,low
354,0.0,low
355,0.0,low
356,0.0,low
357,0.0,low
358,0.0,low
359,0.0,low
360,0.0,low
361,0.0,low
362,0.0,low
363,0.0,low
364,0.0,low
365,0.0,low
366,0.0,low
367,0.0,low
368,0.0,low
369,0.0,low
370,0.0,low
371,0.0,low
372,0.0,low
373,0.0,low
374,0.0,low
375,0.0,low
376,0.0,low
