time,Respiration Rate
0,20.2
1,19.9
2,19.6
3,19.3
4,18.0
5,17.0
6,16.1
7,15.7
8,15.3
9,15.0
10,15.0
11,15.0
12,15.0
13,15.0
14,15.0
15,14.8
16,14.6
17,14.4
18,14.3
19,14.3
20,14.4
21,14.4
22,14.7
23,15.0
24,15.3
25,15.6
26,16.0
27,16.4
28,16.6
29,17.0
30,17.3
31,17.7
32,18.3
33,18.7
34,19.1
35,19.1
36,18.8
37,18.6
38,18.4
39,18.2
40,18.1
41,17.8
42,17.5
43,17.3
44,17.1
45,17.1
46,17.0
47,17.1
48,17.2
49,17.3
50,17.6
51,17.8
52,18.0
53,18.2
54,18.1
55,17.9
56,17.7
57,17.5
58,17.4
59,17.3
60,17.1
61,16.8
62,16.6
63,16.4
64,16.2
65,15.6
66,15.1
67,14.7
68,14.4
69,14.2
70,14.0
71,13.8
72,13.7
73,13.0
74,12.5
75,12.1
76,11.9
77,11.8
78,11.8
79,11.8
80,11.9
81,12.0
82,12.0
83,12.5
84,13.2
85,13.8
86,14.6
87,15.5
88,16.1
89,16.7
90,17.1
91,17.5
92,17.7
93,17.7
94,17.8
95,17.9
96,18.1
97,18.3
98,18.5
99,18.4
100,18.3
101,18.2
102,18.2
103,18.1
104,18.1
105,18.1
106,18.1
107,17.9
108,17.8
109,17.6
110,17.5
111,17.5
112,17.2
113,16.9
114,16.7
115,16.6
116,16.5
117,16.5
118,16.4
119,16.5
120,16.7
121,16.8
122,17.2
123,17.7
124,18.2
125,18.6
126,18.3
127,18.2
128,18.2
129,18.6
130,18.8
131,18.9
132,18.7
133,18.5
134,18.3
135,18.2
136,18.1
137,17.9
138,17.6
139,17.4
140,17.5
141,17.5
142,17.5
143,17.7
144,17.9
145,18.2
146,18.4
147,18.6
148,18.6
149,18.6
150,18.6
151,18.6
152,18.6
153,18.5
154,18.5
155,18.4
156,18.4
157,18.3
158,18.2
159,18.2
160,18.2
161,18.1
162,17.8
163,17.5
164,17.3
165,17.1
166,16.7
167,16.3
168,16.0
169,16.0
170,16.0
171,16.0
172,16.0
173,16.0
174,15.7
175,15.5
176,15.3
177,15.1
178,15.0
179,14.9
180,14.9
181,14.8
182,14.7
183,14.7
184,14.5
185,14.3
186,14.2
187,14.3
188,14.3
189,14.4
190,14.5
191,14.6
192,14.6
193,14.6
194,14.6
195,14.6
196,14.6
197,14.7
198,14.7
199,14.7
200,14.7
201,14.6
202,14.4
203,14.2
204,14.1
205,14.1
206,14.3
207,14.4
208,14.4
209,14.6
210,14.9
211,15.2
212,15.7
213,16.2
214,16.7
215,17.3
216,17.8
217,18.1
218,18.3
219,18.4
220,18.5
221,18.6
222,18.6
223,18.6
224,18.6
225,18.6
226,18.7
227,18.7
228,18.7
229,18.7
230,18.7
231,18.7
232,18.7
233,18.7
234,18.7
235,18.5
236,18.4
237,18.2
238,18.1
239,18.2
240,18.2
241,18.2
242,18.1
243,18.0
244,17.9
245,17.8
246,17.5
247,17.1
248,16.8
249,16.6
250,16.6
251,16.6
252,16.6
253,16.7
254,16.7
255,16.7
256,16.7
257,16.7
258,16.8
259,16.8
260,16.8
261,16.8
262,16.7
263,16.7
264,16.7
265,16.7
266,16.7
267,16.6
268,16.5
269,16.5
270,16.5
271,16.5
272,16.5
273,16.7
274,16.9
275,17.0
276,17.1
277,17.2
278,17.2
279,17.1
280,17.1
281,17.2
282,17.2
283,17.3
284,17.5
285,17.7
286,18.0
287,18.2
288,18.4
289,18.5
290,18.6
291,18.6
292,18.6
293,18.7
294,18.7
295,18.8
296,18.9
297,19.0
298,19.1
299,19.1
300,19.1
301,19.1
302,19.1
303,19.1
304,19.2
305,19.2
306,19.0
307,18.7
308,18.4
309,18.4
310,18.4
311,18.5
312,18.8
313,19.1
314,19.3
315,19.4
316,19.3
317,19.2
318,19.2
319,19.1
320,19.3
321,19.7
322,20.0
323,20.3
324,20.5
325,20.5
326,20.5
327,20.5
328,20.6
329,20.7
330,20.8
331,21.1
332,21.3
333,21.7
334,21.7
335,21.9
336,22.1
337,22.1
338,22.1
339,22.3
340,22.5
341,22.6
342,22.6
343,22.4
344,22.3
345,22.2
346,22.1
347,21.9
348,21.6
349,21.4
350,20.8
351,20.4
352,20.1
353,19.9
354,19.8
355,19.7
356,19.6
357,19.6
358,19.4
359,19.2
360,19.1
361,19.0
362,18.9
363,18.8
364,18.8
365,18.7
366,18.5
367,18.4
368,18.4
369,18.5
370,18.5
371,18.6
372,18.8
373,19.1
374,19.4
375,19.6
376,19.9
377,19.9
378,19.9
379,19.9
380,19.8
381,19.7
382,19.9
383,20.0
384,20.2
385,20.3
386,20.4
387,20.4
388,20.3
389,20.2
390,20.2
391,20.2
392,20.1
393,20.1
394,19.9
395,19.9
396,19.9
397,19.9
398,19.9
399,19.9
400,19.9
401,19.9
402,19.9
403,19.9
404,19.9
405,19.9
406,19.8
407,19.7
408,19.6
409,19.6
410,19.5
411,19.4
412,19.3
413,19.2
414,19.0
415,18.7
416,18.5
417,18.4
418,18.2
419,17.6
420,16.7
421,15.9
422,15.3
423,14.8
424,14.4
425,14.1
426,14.0
427,14.0
428,14.0
429,13.9
430,13.9
431,13.9
432,13.9
433,13.8
434,13.6
435,13.5
436,13.5
437,13.6
438,13.6
439,13.8
440,14.0
441,14.2
442,14.7
443,15.4
444,15.9
445,16.3
446,16.6
447,16.8
448,17.0
449,17.2
450,17.3
451,17.4
452,17.4
453,17.4
454,17.4
455,17.5
456,17.6
457,17.8
458,17.9
459,18.0
460,18.0
461,18.1
462,18.2
463,18.3
464,18.2
465,18.2
466,18.1
467,18.2
468,18.3
469,18.3
470,18.3
471,18.4
472,18.4
473,18.4
474,18.4
475,18.2
476,18.1
477,18.2
478,18.2
479,18.2
480,18.2
481,18.2
482,18.2
483,18.1
484,18.1
485,18.1
486,18.1
487,18.1
488,18.0
489,18.0
490,17.9
491,17.9
492,17.9
493,17.8
494,17.8
495,17.7
496,17.6
497,17.7
498,17.7
499,17.8
500,17.8
501,17.9
502,17.8
503,17.7
504,17.7
505,17.8
506,17.8
507,17.9
508,17.9
509,17.9
510,17.8
511,17.7
512,17.6
513,17.5
514,17.3
515,17.1
516,17.0
517,17.1
518,17.2
519,17.5
520,17.7
521,17.9
522,18.2
523,18.5
524,18.7
525,18.9
526,19.0
527,18.9
528,18.9
529,19.0
530,19.1
531,19.2
532,19.3
533,19.4
534,19.3
535,19.1
536,18.9
537,18.8
538,18.8
539,18.8
540,18.8
541,18.8
542,18.5
543,18.2
544,18.2
545,18.2
546,18.2
547,18.3
548,18.4
549,18.5
550,18.6
551,18.6
552,18.5
553,18.3
554,18.2
555,18.2
556,17.7
557,17.4
558,17.1
559,17.0
560,17.2
561,17.3
562,17.4
563,17.4
564,17.3
565,17.1
566,16.9
567,16.8
568,16.8
569,16.8
570,16.8
571,16.8
572,16.8
573,16.8
574,16.8
575,16.5
576,16.3
577,16.1
578,16.0
579,16.0
580,16.0
581,16.0
582,15.9
583,15.9
584,15.9
585,15.8
586,15.8
587,15.5
588,15.4
589,15.3
590,15.3
591,15.2
592,15.2
593,15.2
594,15.1
595,15.1
596,15.0
597,15.0
598,15.0
599,15.0
600,15.0
601,15.1
602,15.1
603,15.3
604,15.5
605,15.8
606,16.3
607,16.6
608,17.0
609,17.4
610,17.7
611,17.9
612,18.1
613,18.2
614,18.2
615,18.2
616,18.3
617,18.6
618,18.7
619,18.9
620,19.0
621,19.0
622,18.9
623,18.7
624,18.8
625,19.0
626,19.1
627,19.3
628,19.5
629,19.7
630,20.0
631,20.1
632,20.2
633,20.2
634,20.3
635,20.5
636,20.7
637,20.8
638,20.9
639,21.0
640,21.1
641,21.1
642,21.1
643,21.1
644,21.0
645,21.0
646,20.8
647,20.7
648,20.6
649,20.5
650,20.4
651,20.2
652,19.9
653,19.9
654,19.9
655,19.9
656,19.9
657,19.9
658,19.8
659,19.7
660,19.6
661,19.5
662,19.4
663,19.3
664,19.3
665,19.2
666,19.0
667,18.8
668,18.5
669,18.3
670,18.2
671,18.0
672,17.9
673,17.7
674,17.5
675,17.3
676,17.1
677,16.9
678,16.5
679,15.9
680,15.3
681,14.9
682,14.6
683,14.6
684,14.7
685,14.7
686,14.7
687,14.8
688,14.6
689,14.2
690,13.9
691,13.7
692,13.7
693,13.7
694,13.8
695,13.9
696,14.0
697,14.0
698,13.9
699,13.8
700,13.7
701,13.6
702,13.6
703,13.5
704,13.4
705,13.4
706,13.4
707,13.3
708,13.3
709,12.7
710,12.3
711,11.9
712,11.9
713,11.6
714,11.3
715,11.6
716,11.8
717,12.0
718,12.2
719,12.3
720,12.5
721,12.7
722,12.8
723,13.0
724,13.2
725,13.3
726,13.5
727,13.6
728,13.6
