time,respirationRate
0,23.9
1,23.9
2,24.5
3,24.5
4,24.8
5,24.8
6,24.4
7,24.4
8,24.1
9,24.1
10,24.1
11,24.1
12,24.4
13,24.4
14,24.6
15,24.6
16,24.8
17,24.8
18,25.4
19,25.8
20,25.8
21,25.8
22,26.8
23,26.8
24,27.700000000000006
25,27.700000000000006
26,28.9
27,28.9
28,29.9
29,31.1
30,31.1
31,31.1
32,31.9
33,31.9
34,32.6
35,32.6
36,32.9
37,32.9
38,32.9
39,32.9
40,32.9
41,32.9
42,32.6
43,32.6
44,32.4
45,32.4
46,32.1
47,32.1
48,31.9
49,31.1
50,31.1
51,31.1
52,30.700000000000006
53,30.700000000000006
54,30.1
55,30.1
56,29.8
57,29.8
58,29.8
59,29.8
60,29.8
61,29.8
62,29.5
63,29.5
64,29.6
65,29.6
66,29.3
67,29.3
68,29.1
69,28.9
70,28.9
71,28.9
72,28.700000000000006
73,28.700000000000006
74,28.5
75,28.5
76,28.4
77,28.4
78,27.700000000000006
79,26.700000000000006
80,26.700000000000006
81,26.700000000000006
82,26.1
83,26.1
84,25.0
85,25.0
86,24.3
87,24.3
88,23.4
89,22.6
90,22.6
91,22.6
92,21.8
93,21.8
94,21.4
95,21.4
96,21.1
97,21.1
98,21.1
99,21.4
100,21.4
101,21.4
102,21.4
103,21.4
104,21.9
105,21.9
106,22.1
107,22.1
108,22.6
109,23.0
110,23.0
111,23.0
112,23.1
113,23.1
114,22.9
115,22.9
116,22.4
117,22.4
118,21.700000000000006
119,20.700000000000006
120,20.700000000000006
121,20.700000000000006
122,19.9
123,19.9
124,18.8
125,18.8
126,18.1
127,18.1
128,17.2
129,16.1
130,16.1
131,16.1
132,15.1
133,15.1
134,14.2
135,14.2
136,14.0
137,14.0
138,14.4
139,15.0
140,15.0
141,15.0
142,15.9
143,15.9
144,16.400000000000002
145,16.400000000000002
146,16.900000000000002
147,16.900000000000002
148,17.6
149,18.8
150,18.8
151,18.8
152,20.200000000000006
153,20.200000000000006
154,21.5
155,21.5
156,22.1
157,22.1
158,22.200000000000006
159,22.4
160,22.4
161,22.4
162,22.6
163,22.6
164,22.700000000000006
165,22.700000000000006
166,22.8
167,22.8
168,22.9
169,22.8
170,22.8
171,22.8
172,22.6
173,22.6
174,22.700000000000006
175,22.700000000000006
176,22.8
177,22.8
178,22.700000000000006
179,22.5
180,22.5
181,22.5
182,22.700000000000006
183,22.700000000000006
184,22.8
185,22.8
186,22.9
187,22.9
188,23.0
189,22.8
190,22.8
191,22.8
192,22.9
193,22.9
194,23.0
195,23.0
196,23.1
197,23.1
198,23.5
199,24.4
200,24.4
201,24.4
202,25.4
203,25.4
204,26.4
205,26.4
206,27.200000000000006
207,27.200000000000006
208,27.8
209,28.200000000000006
210,28.200000000000006
211,28.200000000000006
212,25.700000000000006
213,25.700000000000006
214,23.700000000000006
215,23.700000000000006
216,22.3
217,22.3
218,20.9
219,19.700000000000006
220,19.700000000000006
221,19.700000000000006
222,18.7
223,18.7
224,18.3
225,18.3
226,18.0
227,18.0
228,17.7
229,17.7
230,17.7
231,17.7
232,17.7
233,17.7
234,17.5
235,17.5
236,16.900000000000002
237,16.900000000000002
238,16.7
239,16.6
240,16.6
241,16.6
242,16.400000000000002
243,16.400000000000002
244,16.0
245,16.0
246,15.9
247,15.9
248,16.1
249,16.0
250,16.0
251,16.0
252,15.9
253,15.9
254,15.8
255,15.8
256,15.7
257,15.7
258,15.7
259,15.6
260,15.6
261,15.6
262,15.5
263,15.5
264,15.5
265,15.5
266,15.2
267,15.2
268,14.8
269,14.6
270,14.6
271,14.6
272,14.3
273,14.3
274,14.4
275,14.4
276,14.7
277,14.7
278,15.1
279,15.6
280,15.6
281,15.6
282,16.2
283,16.2
284,17.0
285,17.0
286,17.7
287,17.7
288,18.6
289,19.700000000000006
290,19.700000000000006
291,19.700000000000006
292,21.0
293,21.0
294,22.200000000000006
295,22.200000000000006
296,23.0
297,23.0
298,23.700000000000006
299,24.0
300,24.0
301,24.0
302,24.6
303,24.6
304,24.6
305,24.6
306,24.8
307,24.8
308,24.4
309,23.8
310,23.8
311,23.8
312,22.6
313,22.6
314,21.6
315,21.6
316,20.9
317,20.9
