time,meanIntensity,stDevIntensity,meanPitch,stDevPitch,stDevVoiceActivity,meanVoiceActivity,syllablesPerSecond,filledPauses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,669.3004040463319,453.3264022373314,0.0,0.0,0.0,0.0,0.0,0.0
6.0,733.4278534536452,539.4888160804109,0.0,0.0,0.0,0.0,0.0,0.0
7.0,853.2063141792805,588.2515400719446,0.0,0.0,0.0,0.0,0.0,0.0
8.0,772.2953828570065,587.7628594814304,0.0,0.0,0.0,0.0,0.0,0.0
9.0,667.9186382249175,616.4039740802136,0.0,0.0,0.20058913230780975,0.042,0.0,0.0
10.0,622.1405426224985,608.5244594607533,0.0,0.0,0.20058913230780973,0.042,0.0,0.0
11.0,544.6270722552496,507.6119698135236,222.68586741958194,6.291919590866392,0.15304901175767188,0.024,0.0,0.0
12.0,534.5587749109261,629.6427032127783,0.0,0.0,0.2179449471770337,0.05,0.4,0.0
13.0,551.0802920326482,650.1855589693093,0.0,0.0,0.21794494717703367,0.05,0.4,0.0
14.0,622.5718448317082,641.0607852508407,0.0,0.0,0.25174590364095306,0.068,0.4,0.0
15.0,687.0944775755011,641.2867356691401,0.0,0.0,0.21794494717703364,0.05,0.4,0.0
16.0,717.1458008108866,653.8069649241693,0.0,0.0,0.21794494717703367,0.05,0.4,0.0
17.0,619.5997450043901,450.5618700903278,0.0,0.0,0.0,0.0,0.0,0.0
18.0,556.1109858238711,399.65531831653266,0.0,0.0,0.0,0.0,0.0,0.0
19.0,485.45162191452806,396.3859626925557,0.0,0.0,0.0,0.0,0.0,0.0
20.0,419.5530500932489,364.0353507953621,0.0,0.0,0.0,0.0,0.0,0.0
21.0,336.5879439727598,283.72900390800805,0.0,0.0,0.0,0.0,0.0,0.0
22.0,247.14664200336298,210.81614837648337,0.0,0.0,0.0,0.0,0.0,0.0
23.0,190.392020975462,163.25978309856228,0.0,0.0,0.0,0.0,0.0,0.0
24.0,327.8491691268567,816.3551372535644,0.0,0.0,0.24475293665245368,0.064,0.2,0.0
25.0,664.4937166419381,1633.7053060375654,0.0,0.0,0.2861817604250837,0.09,0.6,0.0
26.0,696.9390884124924,1628.7603199561677,0.0,0.0,0.2861817604250837,0.09,0.6,0.0
27.0,747.3068274104722,1615.4025226893316,0.0,0.0,0.2861817604250837,0.09,0.6,0.0
28.0,744.0891759195251,1616.4542226105657,0.0,0.0,0.2861817604250837,0.09,0.6,0.0
29.0,589.6235612918699,1469.982649744019,0.0,0.0,0.14668333238647124,0.022,0.2,0.0
30.0,221.35933726284756,191.00330999062876,0.0,0.0,0.0,0.0,0.0,0.0
