time,meanIntensity,stDevIntensity,meanPitch,stDevPitch,stDevVoiceActivity,meanVoiceActivity,syllablesPerSecond,filledPauses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,84.61044896762154,388.14307708321815,141.68856727882329,2.965238858917625,0.21794494717703367,0.05,0.2,0.0
6.0,20.88024232090675,9.233988796881896,0.0,0.0,0.0,0.0,0.0,0.0
7.0,20.80994320560852,9.26296460170579,0.0,0.0,0.0,0.0,0.0,0.0
8.0,19.868221685772536,1.5235492090478024,0.0,0.0,0.0,0.0,0.0,0.0
9.0,22.35862176919591,8.85963374711727,0.0,0.0,0.0,0.0,0.0,0.0
10.0,23.11594921712063,8.836555397474399,0.0,0.0,0.0,0.0,0.0,0.0
11.0,23.75736099002378,8.699213346541933,0.0,0.0,0.0,0.0,0.0,0.0
12.0,288.2945713815319,1384.6193263172586,0.0,0.0,0.23374344910606584,0.058,0.4,0.0
13.0,289.1581450304332,1384.4601862001823,0.0,0.0,0.23374344910606584,0.058,0.4,0.0
14.0,287.20961190327125,1384.8085235600179,0.0,0.0,0.23374344910606587,0.058,0.4,0.0
15.0,286.9285542070966,1384.86175178026,0.0,0.0,0.23374344910606581,0.058,0.4,0.0
16.0,287.0729783938277,1384.8343806871778,142.92822133684882,19.02498368736129,0.23374344910606581,0.058,0.4,0.0
17.0,22.841252048950828,5.088163475890687,0.0,0.0,0.0,0.0,0.0,0.0
18.0,22.01061747682889,3.028294149227836,0.0,0.0,0.0,0.0,0.0,0.0
19.0,21.98524000565439,3.01456996897658,0.0,0.0,0.0,0.0,0.0,0.0
20.0,22.121616026985105,2.9878336521411417,0.0,0.0,0.0,0.0,0.0,0.0
21.0,24.194382535682692,8.766857410979418,0.0,0.0,0.0,0.0,0.0,0.0
22.0,25.130082480715572,9.14171970106999,0.0,0.0,0.0,0.0,0.0,0.0
23.0,25.042986990584097,9.063103809512386,0.0,0.0,0.0,0.0,0.0,0.0
24.0,25.897734089477325,9.404508850429075,0.0,0.0,0.0,0.0,0.0,0.0
25.0,25.742138794845296,9.482102906406979,0.0,0.0,0.0,0.0,0.0,0.0
26.0,23.655164143524853,5.259188357281303,0.0,0.0,0.0,0.0,0.0,0.0
27.0,23.8362015807594,6.912910289344374,0.0,0.0,0.0,0.0,0.0,0.0
28.0,24.967665960063524,7.6419298531741795,0.0,0.0,0.0,0.0,0.0,0.0
29.0,25.197546734521616,7.262342017384752,0.0,0.0,0.0,0.0,0.0,0.0
30.0,25.38876456653438,7.18544418679218,0.0,0.0,0.0,0.0,0.0,0.0
31.0,25.64881089348165,7.335108843492515,0.0,0.0,0.0,0.0,0.0,0.0
