time,respirationRate
0,13.4
1,13.4
2,13.4
3,13.4
4,13.9
5,13.9
6,14.3
7,14.3
8,14.6
9,14.933333333333334
10,15.266666666666666
11,15.6
12,16.400000000000002
13,16.400000000000002
14,16.8
15,17.2
16,17.5
17,17.5
18,17.3
19,17.1
20,17.3
21,17.1
22,16.900000000000002
23,16.900000000000002
24,16.8
25,16.7
26,16.5
27,16.133333333333333
28,15.766666666666667
29,15.4
30,15.4
31,15.4
32,14.8
33,14.6
34,14.4
35,14.2
36,14.2
37,14.0
38,13.9
39,13.8
40,13.8
41,13.766666666666667
42,13.733333333333333
43,13.7
44,13.6
45,13.633333333333333
46,13.666666666666666
47,13.7
48,12.3
49,11.9
50,11.5
51,11.1
52,10.7
53,10.3
54,9.9
55,9.7
56,9.5
57,9.5
58,9.4
59,9.55
60,9.7
61,9.7
62,10.1
63,10.5
64,10.5
65,11.2
66,12.149999999999999
67,13.1
68,13.1
69,13.1
70,13.649999999999999
71,14.2
72,14.9
73,15.15
74,15.4
75,15.4
76,15.95
77,16.5
78,16.5
79,16.5
80,16.75
81,17.0
82,17.200000000000003
83,17.400000000000002
84,17.8
85,18.0
86,18.2
87,18.5
88,18.2
89,18.5
90,17.85
91,17.2
92,16.1
93,15.600000000000001
94,15.1
95,15.1
96,14.649999999999999
97,14.2
98,14.2
99,13.7
100,13.5
101,13.566666666666666
102,13.633333333333333
103,13.7
104,14.1
105,14.933333333333334
106,15.766666666666667
107,16.6
108,16.6
109,16.6
110,17.900000000000006
111,18.300000000000004
112,18.700000000000003
113,19.1
114,20.200000000000006
115,20.200000000000006
116,21.1
117,21.42
118,21.740000000000002
119,22.060000000000006
120,22.380000000000006
121,22.700000000000006
122,21.85
123,21.0
124,19.5
125,19.5
126,18.2
127,17.833333333333332
128,17.46666666666667
129,17.1
130,16.2
131,16.2
132,15.5
133,15.2
134,14.9
135,14.633333333333333
136,14.366666666666667
137,14.1
138,14.1
139,14.1
140,13.7
141,13.3
142,12.8
143,12.8
144,12.8
145,12.9
146,13.0
147,13.0
148,13.0
149,13.5
150,14.2
151,14.2
152,14.7
153,15.2
154,16.400000000000002
155,16.400000000000002
156,17.400000000000002
157,18.7
158,17.400000000000002
159,18.7
160,19.5
161,19.766666666666666
162,20.033333333333335
163,20.3
164,20.3
165,20.6
166,20.700000000000006
167,20.700000000000006
168,20.4
169,20.4
170,20.200000000000006
171,20.200000000000006
172,20.0
173,20.0
174,20.25
175,20.5
176,20.5
177,20.5
178,20.5
179,20.5
180,20.6
181,20.75
182,20.9
183,20.9
184,21.35
185,21.8
186,21.8
187,21.8
188,21.9
189,22.0
190,22.200000000000006
191,22.200000000000006
192,22.4
193,22.5
194,22.600000000000005
195,22.700000000000006
196,22.700000000000006
197,22.700000000000006
198,22.800000000000004
199,22.9
200,21.9
201,20.9
202,20.15
203,19.4
204,18.1
205,17.525000000000002
206,16.950000000000003
207,16.375
208,15.8
209,15.8
210,15.1
211,15.0
212,14.9
213,14.8
214,14.65
215,14.5
216,14.5
217,14.4
218,14.3
219,14.2
220,14.1
221,14.05
222,14.0
223,13.966666666666667
224,13.933333333333334
225,13.9
226,13.9
227,14.0
228,14.05
229,14.1
230,14.4
231,14.6
232,14.6
233,14.7
234,14.8
235,14.8
236,13.7
237,12.6
238,12.366666666666667
239,12.133333333333333
240,11.9
241,11.3
242,11.3
243,11.100000000000001
244,10.9
245,10.9
246,10.9
247,10.8
248,10.8
249,10.7
250,10.6
251,10.4
252,10.4
253,10.3
254,10.3
255,10.3
256,10.3
257,10.4
258,10.5
259,10.1
260,9.7
261,9.4
262,9.4
263,9.3
264,9.3
265,9.3
266,9.3
267,9.6
268,9.6
269,9.9
270,10.05
271,10.2
272,10.55
273,10.9
274,10.9
275,11.2
276,11.366666666666665
277,11.533333333333333
278,11.7
279,12.0
280,12.3
281,12.350000000000001
282,12.4
283,12.4
284,12.4
285,11.4
286,11.05
287,10.7
288,10.7
289,10.7
290,10.1
291,9.7
292,9.4
293,9.7
294,9.4
295,9.4
296,9.4
297,8.95
298,8.5
299,8.25
300,8.0
301,7.800000000000002
302,7.733333333333334
303,7.666666666666667
304,7.6
305,7.5
306,7.4
307,7.350000000000001
308,7.300000000000002
309,7.300000000000002
310,7.5
311,7.9
312,8.1
313,8.3
314,8.5
315,8.700000000000001
316,8.9
317,9.15
318,9.4
319,9.4
320,9.9
321,10.4
322,10.700000000000001
323,11.0
324,11.3
325,10.5
326,10.333333333333334
327,10.166666666666666
328,10.0
329,10.0
330,9.6
331,9.399999999999999
332,9.2
333,9.2
334,9.2
335,9.0
336,8.966666666666667
337,8.933333333333334
338,8.9
339,8.8
340,8.5
341,8.200000000000001
342,8.033333333333335
343,7.866666666666667
344,7.7
345,7.2
346,7.2
347,7.1000000000000005
348,7.050000000000001
349,7.0
350,7.0
351,7.2
352,7.366666666666667
353,7.533333333333333
354,7.7
355,8.05
356,8.4
357,8.75
358,9.1
359,10.0
360,10.0
361,10.8
362,11.233333333333334
363,11.666666666666666
364,12.1
365,13.6
366,13.6
367,14.9
368,14.9
369,16.400000000000002
370,16.400000000000002
371,18.4
372,18.4
373,18.85
374,19.3
375,19.8
376,20.3
377,21.3
378,21.3
379,21.9
380,21.9
381,21.9
382,22.1
383,22.3
384,22.333333333333332
385,22.366666666666667
386,22.4
387,22.5
388,22.6
389,22.700000000000006
390,22.8
391,22.8
392,22.8
393,22.9
394,23.0
395,23.05
396,23.1
397,22.9
398,22.75
399,22.6
400,22.3
401,22.6
402,22.3
403,22.200000000000003
404,22.1
405,22.0
406,21.9
407,21.85
408,21.8
409,21.700000000000006
410,21.720000000000006
411,21.740000000000006
412,21.76
413,21.78
414,21.8
415,20.0
416,20.0
417,18.6
418,18.6
419,18.1
420,17.6
421,17.6
422,16.8
423,16.0
424,16.0
425,15.3
426,15.05
427,14.8
428,14.55
429,14.3
430,14.020000000000001
431,13.74
432,13.46
433,13.18
434,12.9
435,12.2
436,12.2
437,11.6
438,11.6
439,11.1
440,10.933333333333334
441,10.766666666666666
442,10.6
443,10.5
444,10.5
445,10.45
446,10.4
447,10.5
448,10.5
449,10.7
450,10.9
451,10.7
452,10.9
453,11.2
454,11.2
455,11.5
456,11.7
457,11.9
458,12.100000000000001
459,12.3
460,12.6
461,12.3
462,12.6
463,12.0
464,11.4
465,11.0
466,10.6
467,10.1
468,10.1
469,10.0
470,9.9
471,9.9
472,9.9
473,10.0
474,10.1
475,10.3
476,10.466666666666667
477,10.633333333333335
478,10.8
479,11.8
480,12.1
481,12.4
482,12.7
483,13.8
484,13.8
485,14.15
486,14.5
487,14.85
488,15.2
489,15.9
490,16.133333333333333
491,16.366666666666667
492,16.6
493,17.400000000000002
494,17.6
495,17.8
496,18.0
497,18.6
498,17.65
499,16.7
500,15.4
501,16.7
502,15.4
503,14.4
504,14.133333333333333
505,13.866666666666667
506,13.6
507,13.1
508,13.1
509,12.7
510,12.7
511,12.7
512,12.7
513,12.9
514,12.9
515,13.4
516,13.4
517,14.5
518,15.1
519,15.7
520,16.5
521,15.7
522,16.5
523,16.9
524,17.3
525,17.6
526,17.900000000000006
527,17.900000000000006
528,18.4
529,18.6
530,18.7
531,18.6
532,18.7
533,18.7
534,18.7
535,18.8
536,18.85
537,18.9
538,18.1
539,17.3
540,16.2
541,17.3
542,16.2
543,15.7
544,15.2
545,15.05
546,14.9
547,14.9
548,14.9
549,15.350000000000001
550,15.8
551,15.8
552,15.8
553,16.6
554,16.933333333333334
555,17.26666666666667
556,17.6
557,19.200000000000006
558,19.750000000000004
559,20.3
560,21.200000000000006
561,20.3
562,21.200000000000006
563,22.1
564,22.1
565,22.35
566,22.6
567,23.0
568,23.0
569,23.1
570,23.200000000000006
571,23.200000000000006
572,23.200000000000006
573,23.0
574,23.05
575,23.1
576,23.1
577,23.1
578,22.6
579,22.1
580,21.4
581,22.1
582,21.4
583,21.4
584,21.4
585,21.4
586,21.2
587,21.0
588,21.0
589,20.700000000000006
590,21.0
591,20.700000000000006
592,20.700000000000006
593,20.633333333333336
594,20.56666666666667
595,20.5
596,20.5
597,20.5
