time,syllablesPerSecond,meanVoiceActivity,stDevVoiceActivity,meanPitch,stDevPitch,meanIntensity,stDevIntensity
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.7333333333333333,0.06533333333333333,0.24711310950430956,149.7,105.7604683549892,75.71785487528345,278.6148150129413
31.0,0.7,0.053,0.22403347964087866,138.96666666666667,90.83776135995915,62.579362433862435,235.56593586550366
32.0,0.5333333333333333,0.03933333333333333,0.19438678510182275,139.86666666666667,90.5110429112873,52.63845275888133,212.518217953132
33.0,0.5,0.029,0.16780643611018023,141.4,89.76881418399152,46.223973544973546,200.70821719785556
34.0,0.3333333333333333,0.021,0.14338409953687334,143.2,88.77477119091887,41.104533635676496,188.11662496698673
35.0,0.26666666666666666,0.008666666666666666,0.09269064437987015,134.0,75.39230729988306,28.577349584278156,61.24791245333506
36.0,0.16666666666666666,0.0036666666666666666,0.060441891285946875,120.0,0.0,25.845938019652305,54.68420399916793
37.0,0.06666666666666667,0.0036666666666666666,0.06044189128594687,120.0,0.0,24.814476190476192,53.968272177065096
38.0,0.03333333333333333,0.0036666666666666666,0.06044189128594687,120.0,0.0,24.34204195011338,53.83233858178024
39.0,0.03333333333333333,0.0036666666666666666,0.06044189128594687,120.0,0.0,24.141369992441422,53.84684297231664
40.0,0.03333333333333333,0.0036666666666666666,0.060441891285946875,120.0,0.0,23.916966742252455,53.85503522778435
41.0,0.03333333333333333,0.0036666666666666666,0.060441891285946875,120.0,0.0,23.677932350718066,53.86655228579173
