time,syllablesPerSecond,meanVoiceActivity,stDevVoiceActivity,meanPitch,stDevPitch,meanIntensity,stDevIntensity
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.06666666666666667,0.0003333333333333333,0.01825437542679076,120.0,0.0,10.786036281179138,8.762774000803622
31.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.801920634920634,8.761001463947919
32.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.805201814058957,8.75459039512883
33.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.811503023431595,8.744326811808568
34.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.798784580498866,8.741217030067745
35.0,0.03333333333333333,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.798515117157974,8.747024590015908
36.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.825981481481481,8.780195478152962
37.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.843491307634165,8.821382736793725
38.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.835201814058957,8.82342187196666
39.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.835981103552532,8.83305312915129
40.0,0.06666666666666667,0.0003333333333333333,0.018254375426790755,120.0,0.0,10.988963340891912,9.10614587750604
41.0,0.03333333333333333,0.0003333333333333333,0.01825437542679076,120.0,0.0,10.937225623582766,9.052199041560051
42.0,0.0,0.0,0.0,120.0,0.0,10.77511148904006,8.078284803206671
