time,syllablesPerSecond,meanVoiceActivity,stDevVoiceActivity,meanPitch,stDevPitch,meanIntensity,stDevIntensity
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,1.9333333333333333,0.281,0.449487485921466,374.56666666666666,251.88432309737385,305.8657195767196,842.7977465490716
31.0,1.9,0.27266666666666667,0.445330838316364,372.6,253.62789015931722,303.0747441421013,842.9848659726516
32.0,1.8666666666666667,0.27166666666666667,0.44481893944490364,372.6,253.62789015931722,303.3262619047619,842.918863029228
33.0,1.9,0.2703333333333333,0.44413198738913434,372.6,253.62789015931722,303.44518594104306,842.887102210996
34.0,1.7666666666666666,0.25533333333333336,0.43604841729127075,359.9,256.40428363556384,295.3489244142101,841.6008791130073
35.0,1.8,0.25566666666666665,0.4362352831010144,370.43333333333334,268.9489026231976,287.42428458049886,832.4030675023935
36.0,1.6333333333333333,0.243,0.4288950920679788,350.3333333333333,264.3418661926677,281.8392849584278,830.4266732178633
37.0,1.7333333333333334,0.25933333333333336,0.43826881654477257,347.5,260.43742050634734,299.1647664399093,840.7086500102057
38.0,1.6333333333333333,0.25866666666666666,0.4379020692143647,354.2,270.6225415592722,271.9918722600151,735.109833791035
39.0,1.5666666666666667,0.25733333333333336,0.4371646015963425,345.73333333333335,273.8249968298893,268.9805007558579,728.446631719307
40.0,1.6333333333333333,0.26,0.4386342439892262,348.03333333333336,277.72498187155503,256.1315710506425,679.735099173128
41.0,1.5666666666666667,0.25733333333333336,0.4371646015963425,352.0,273.55864697233267,255.24620256991685,679.9798614811843
