time,meanIntensity,stDevIntensity,meanPitch,stDevPitch,stDevVoiceActivity,meanVoiceActivity,syllablesPerSecond,filledPauses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,12.791461629159668,2.477797459723833,0.0,0.0,0.0,0.0,0.0,0.0
11.0,12.93265380222605,2.5072154349417692,0.0,0.0,0.0,0.0,0.0,0.0
12.0,12.690276752053178,1.8231024034683818,0.0,0.0,0.0,0.0,0.0,0.0
13.0,13.287097112198856,4.26647908175267,0.0,0.0,0.0,0.0,0.0,0.0
14.0,16.85260598640013,12.427560761408023,0.0,0.0,0.0,0.0,0.0,0.0
15.0,16.859712324017295,12.427730728267617,0.0,0.0,0.0,0.0,0.0,0.0
16.0,17.113727775662998,12.522475878170694,0.0,0.0,0.0,0.0,0.0,0.0
17.0,18.02430452119781,13.100399750566162,0.0,0.0,0.0,0.0,0.0,0.0
18.0,18.0481072412691,13.09128743249887,0.0,0.0,0.0,0.0,0.0,0.0
19.0,17.86793156241902,13.114612901924762,0.0,0.0,0.0,0.0,0.0,0.0
20.0,18.370508417151832,13.120636485623354,0.0,0.0,0.0,0.0,0.0,0.0
21.0,18.24457274874775,13.145197920441461,0.0,0.0,0.0,0.0,0.0,0.0
22.0,19.303030845643683,13.87823929018776,0.0,0.0,0.0,0.0,0.0,0.0
23.0,24.470599483252172,26.736945496216908,0.0,0.0,0.0,0.0,0.0,0.0
24.0,22.525514957679064,27.487198321818592,0.0,0.0,0.0,0.0,0.0,0.0
25.0,28.06005789845921,36.43797778414927,0.0,0.0,0.0,0.0,0.0,0.0
26.0,30.756864235039693,41.20212409959579,0.0,0.0,0.0,0.0,0.0,0.0
27.0,31.54954630864852,41.15670563818591,0.0,0.0,0.0,0.0,0.0,0.0
28.0,33.394690254316664,41.45731701014823,0.0,0.0,0.0,0.0,0.0,0.0
29.0,34.97470374666269,41.411120118737514,0.0,0.0,0.0,0.0,0.0,0.0
30.0,37.91325515813389,44.00235833046942,0.0,0.0,0.0,0.0,0.0,0.0
31.0,38.86083310822284,43.683365834014744,0.0,0.0,0.0,0.0,0.0,0.0
32.0,37.80356948368423,43.93009837642699,0.0,0.0,0.0,0.0,0.0,0.0
33.0,32.10666070173289,39.27638657130439,0.0,0.0,0.0,0.0,0.0,0.0
