time,meanIntensity,stDevIntensity,meanPitch,stDevPitch,stDevVoiceActivity,meanVoiceActivity,syllablesPerSecond,filledPauses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,365.25747934594716,810.2216381806746,0.0,0.0,0.38748419322599476,0.184,1.8,0.0
6.0,84.67631122562437,85.7234434683905,99.98022860537947,4.384031546622009,0.27436472076416824,0.082,0.4,0.0
7.0,68.85746002301674,70.46117012135309,0.0,0.0,0.0,0.0,0.0,0.0
8.0,66.49049112734748,71.20030018588561,0.0,0.0,0.0,0.0,0.0,0.0
9.0,59.55381787965931,65.35302071477598,0.0,0.0,0.0,0.0,0.0,0.0
10.0,45.599861524064195,40.14007430005373,0.0,0.0,0.0,0.0,0.0,0.0
11.0,33.92863826061312,33.852553551703245,0.0,0.0,0.0,0.0,0.0,0.0
12.0,22.678170207906312,15.462464003947913,0.0,0.0,0.0,0.0,0.0,0.0
13.0,21.839708898973573,15.772722284669792,0.0,0.0,0.0,0.0,0.0,0.0
14.0,15.694310338704273,7.77940712050958,0.0,0.0,0.0,0.0,0.0,0.0
15.0,17.87776628207332,20.193485360255544,0.0,0.0,0.0,0.0,0.0,0.0
16.0,17.821785547641536,20.181162778583627,0.0,0.0,0.0,0.0,0.0,0.0
17.0,17.83621968158362,20.168387105699495,0.0,0.0,0.0,0.0,0.0,0.0
18.0,17.941377615556224,20.150545568701993,0.0,0.0,0.0,0.0,0.0,0.0
19.0,17.976394510073106,20.170806103779377,0.0,0.0,0.0,0.0,0.0,0.0
20.0,13.904378621753905,2.035892622667233,0.0,0.0,0.0,0.0,0.0,0.0
21.0,13.794348537994786,1.8788274614791476,0.0,0.0,0.0,0.0,0.0,0.0
22.0,13.706426529924224,1.656708313912195,0.0,0.0,0.0,0.0,0.0,0.0
23.0,13.663998362632018,1.6037118204753713,0.0,0.0,0.0,0.0,0.0,0.0
24.0,13.50743076886276,1.1655339348031815,0.0,0.0,0.0,0.0,0.0,0.0
25.0,13.57678396110229,1.1844550950521775,0.0,0.0,0.0,0.0,0.0,0.0
26.0,13.540845012189969,1.1494103910294737,0.0,0.0,0.0,0.0,0.0,0.0
27.0,13.538918670817793,1.1058410372131,0.0,0.0,0.0,0.0,0.0,0.0
28.0,13.32967027508785,1.191417482753384,0.0,0.0,0.0,0.0,0.0,0.0
29.0,13.248257957189583,1.2324889966948112,0.0,0.0,0.0,0.0,0.0,0.0
30.0,13.155363068051443,1.197822896176757,0.0,0.0,0.0,0.0,0.0,0.0
31.0,13.042128169635214,1.229015818302407,0.0,0.0,0.0,0.0,0.0,0.0
32.0,13.008294039552661,1.249332797553218,0.0,0.0,0.0,0.0,0.0,0.0
