time,meanIntensity,stDevIntensity,meanPitch,stDevPitch,stDevVoiceActivity,meanVoiceActivity,syllablesPerSecond,filledPauses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,953.4781997570078,1271.6635900386884,0.0,0.0,0.0,0.0,0.0,0.0
6.0,890.7894977004313,1296.5989120413433,0.0,0.0,0.0,0.0,0.0,0.0
7.0,601.5856977005459,1248.1042965619088,0.0,0.0,0.0,0.0,0.0,0.0
8.0,628.114759830435,1239.0336469331094,0.0,0.0,0.0,0.0,0.0,0.0
9.0,148.5418940295286,305.2559323715958,0.0,0.0,0.1530490117576719,0.024,0.2,0.0
10.0,108.92822509023338,150.67149010778107,0.0,0.0,0.0,0.0,0.0,0.0
11.0,194.08490708707834,265.1436166184605,0.0,0.0,0.0,0.0,0.0,0.0
12.0,177.52331483500794,256.85464323865347,0.0,0.0,0.0,0.0,0.0,0.0
13.0,151.4794209977627,252.11004813232776,0.0,0.0,0.0,0.0,0.0,0.0
14.0,156.2519479370407,244.0803584922555,0.0,0.0,0.0,0.0,0.0,0.0
15.0,160.59833114540123,242.04214579775632,0.0,0.0,0.0,0.0,0.0,0.0
16.0,66.02274349686915,68.76236383644505,0.0,0.0,0.0,0.0,0.0,0.0
17.0,104.71308022889006,126.99864171769332,0.0,0.0,0.0,0.0,0.0,0.0
18.0,99.4440081464315,127.84359560492852,0.0,0.0,0.0,0.0,0.0,0.0
19.0,87.29298054161647,121.01364311626111,0.0,0.0,0.17058722109231977,0.03,0.2,0.0
20.0,84.12139838006571,122.022766028995,0.0,0.0,0.1705872210923198,0.03,0.2,0.0
21.0,128.08821539847187,174.60328927642817,0.0,0.0,0.1705872210923198,0.03,0.2,0.0
22.0,90.50619736207052,146.0479840193287,0.0,0.0,0.17058722109231977,0.03,0.2,0.0
23.0,125.95563397954797,163.3281891515706,0.0,0.0,0.17058722109231977,0.03,0.2,0.0
24.0,124.40383662751931,168.26919955932323,0.0,0.0,0.0,0.0,0.0,0.0
25.0,168.07074439432762,206.97506451695534,0.0,0.0,0.0,0.0,0.0,0.0
26.0,129.54668291147755,178.8780412347348,0.0,0.0,0.0,0.0,0.0,0.0
27.0,144.17245873870715,176.10096882164103,0.0,0.0,0.0,0.0,0.0,0.0
28.0,109.91698402703166,163.61801071778376,0.0,0.0,0.0,0.0,0.0,0.0
29.0,129.7950597957668,167.63338947033114,0.0,0.0,0.0,0.0,0.0,0.0
30.0,89.6233519613932,99.81207744930563,0.0,0.0,0.0,0.0,0.0,0.0
31.0,118.89957598677172,128.87910889925007,0.0,0.0,0.0,0.0,0.0,0.0
32.0,108.41568527961189,127.01269699542074,0.0,0.0,0.0,0.0,0.0,0.0
