Clock,Operator,Threshold,Overall Workload,Single Task Demand,Total Conflict Value,Auditory,Cognitive,Fine Motor,Gross Motor,Speech,Tactile,Visual
00:00.0,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
00:15.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
00:25.1,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
00:27.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
00:36.1,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
00:37.1,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
00:44.0,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
00:46.3,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
00:54.3,Operator,60,70.4,70.4,0,12,22.8,11.2,0,0,0,24.4
00:56.1,Operator,60,83,83,0,12,25.8,13.8,0,4,0,27.4
00:56.3,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
01:02.5,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
01:04.3,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
01:15.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
01:24.7,Operator,60,70.4,70.4,0,12,22.8,11.2,0,0,0,24.4
01:25.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
01:34.7,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
01:36.0,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
01:42.3,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
01:43.9,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
01:53.6,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
01:53.9,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
01:56.6,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
02:02.9,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
02:06.6,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
02:07.8,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
02:15.9,Operator,60,70.4,70.4,0,12,22.8,11.2,0,0,0,24.4
02:17.8,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
02:25.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
02:26.4,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
02:34.2,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
02:38.2,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
02:48.2,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
02:48.8,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
02:58.2,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
02:59.0,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
03:07.8,Operator,60,70.4,70.4,0,12,22.8,11.2,0,0,0,24.4
03:08.2,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
03:17.8,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
03:20.6,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
03:30.6,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
03:31.2,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
03:42.6,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
03:43.0,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
03:53.0,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
03:55.0,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
04:05.0,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
04:06.4,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
04:10.5,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
04:15.7,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
04:25.7,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
04:30.2,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
04:40.2,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
04:43.1,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
04:53.1,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
05:04.5,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
05:14.5,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
05:17.3,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
05:27.3,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
05:33.3,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
05:43.3,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
05:44.7,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
05:54.9,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
05:55.8,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
06:04.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
06:05.5,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
06:12.6,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
06:22.9,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
06:32.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
06:34.9,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
06:44.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
06:47.7,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
06:57.7,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
06:59.9,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
07:07.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
07:15.7,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
07:25.4,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
07:25.7,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
07:31.5,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
07:32.5,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
07:42.5,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
07:43.0,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
07:49.2,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
07:51.2,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
07:59.2,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
08:00.4,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
08:10.4,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
08:12.4,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
08:21.2,Operator,60,70.4,70.4,0,12,22.8,11.2,0,0,0,24.4
08:22.4,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
08:31.2,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
08:35.0,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
08:41.3,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
08:46.8,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
08:56.8,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
08:57.4,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
09:06.7,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
09:12.4,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
09:22.4,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
09:25.2,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
09:35.2,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
09:40.4,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
09:49.3,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
09:50.4,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
09:59.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
10:01.2,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
10:11.2,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
10:13.3,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
10:24.6,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
10:25.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
10:34.7,Operator,60,70.4,70.4,0,12,22.8,11.2,0,0,0,24.4
10:35.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
10:44.7,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
