time,respirationRate
0,16.8
1,17.0
2,17.1
3,17.7
4,18.1
5,18.5
6,19.3
7,19.9
8,19.9
9,20.5
10,20.4
11,20.4
12,20.6
13,20.9
14,21.2
15,21.4
16,21.1
17,20.9
18,21.0
19,21.2
20,21.4
21,21.3
22,20.9
23,20.7
24,20.5
25,20.2
26,19.7
27,19.4
28,19.4
29,19.4
30,19.5
31,19.6
32,19.8
33,20.0
34,20.1
35,20.3
36,20.4
37,20.4
38,20.5
39,20.5
40,20.5
41,20.5
42,20.5
43,20.6
44,20.6
45,20.6
46,20.5
47,20.4
48,20.6
49,20.9
50,21.2
51,21.1
52,20.7
53,20.4
54,20.3
55,20.2
56,20.4
57,20.7
58,20.9
59,21.1
60,21.2
61,21.3
62,21.0
63,20.8
64,20.7
65,20.7
66,20.8
67,20.9
68,20.6
69,20.1
70,19.8
71,19.5
72,19.0
73,18.5
74,18.1
75,18.3
76,18.5
77,18.6
78,18.8
79,18.9
80,19.2
81,19.5
82,19.8
83,20.0
84,19.9
85,19.8
86,20.3
87,20.7
88,21.0
89,21.4
90,21.6
91,21.8
92,21.7
93,21.6
94,21.5
95,21.1
96,20.8
97,20.5
98,20.6
99,20.8
100,21.0
101,21.2
102,21.3
103,20.9
104,20.5
105,20.2
106,20.2
107,20.2
108,20.1
109,20.2
110,20.2
111,20.3
112,20.2
113,20.1
114,20.1
115,19.8
116,19.2
117,18.9
118,19.2
119,19.4
120,19.6
121,19.4
122,19.3
123,19.5
124,20.0
125,20.3
126,20.8
127,21.3
128,21.7
129,22.0
130,22.3
131,22.5
132,22.6
133,22.8
134,22.8
135,22.8
136,22.8
137,22.8
138,22.8
139,22.6
140,22.5
141,22.4
142,22.2
143,21.9
144,21.7
145,21.3
146,20.8
147,20.4
148,20.2
149,20.1
150,19.9
151,20.3
152,20.5
153,20.8
154,21.0
155,21.2
156,21.2
157,21.1
158,21.0
159,20.9
160,20.9
161,20.9
162,20.9
163,20.3
164,19.8
165,19.4
166,19.1
167,19.0
168,18.8
169,18.7
170,18.2
171,17.7
172,17.5
173,17.4
174,17.4
175,17.5
176,17.6
177,17.8
178,17.9
179,17.9
180,17.7
181,17.5
182,17.7
183,18.0
184,18.2
185,18.2
186,18.0
187,17.9
188,18.0
189,18.3
190,18.5
191,18.7
192,18.6
193,18.1
194,17.8
195,17.8
196,17.8
197,18.0
198,18.3
199,18.5
200,18.7
201,18.9
202,19.1
203,19.8
204,20.4
205,20.7
206,20.7
207,20.7
208,20.7
209,20.3
210,20.0
211,19.9
212,20.1
213,20.1
214,20.4
215,20.6
216,20.9
217,21.3
218,21.6
219,21.6
220,21.4
221,21.2
222,21.5
223,21.7
224,21.9
225,21.8
226,21.4
227,21.1
228,20.6
229,20.0
230,19.5
231,19.4
232,19.5
233,19.6
234,20.1
235,20.5
236,21.0
237,21.4
238,21.9
239,22.5
240,22.9
241,23.7
242,24.3
243,24.8
244,25.2
245,25.4
246,25.5
247,25.7
248,25.6
249,25.5
250,25.5
251,25.2
252,24.7
253,24.4
254,23.9
255,23.5
256,23.2
257,23.1
258,23.1
259,23.0
260,23.0
261,23.0
262,23.0
263,23.0
264,23.0
265,22.9
266,22.9
267,22.9
268,22.9
269,22.8
270,22.7
271,22.6
272,22.5
273,22.3
274,22.2
275,22.1
276,21.9
277,21.6
278,21.5
279,20.8
280,20.3
281,19.8
282,19.5
283,18.7
284,18.0
285,17.5
286,17.4
287,17.5
288,17.6
289,17.6
290,17.5
291,17.5
292,17.5
293,17.5
294,17.5
295,17.8
296,18.3
297,18.7
298,19.1
299,19.4
300,19.7
301,20.4
302,21.0
303,22.1
304,22.6
305,23.1
306,23.4
307,23.7
308,23.8
309,23.9
310,24.0
311,24.0
312,24.0
313,24.0
314,23.9
315,23.7
316,23.4
317,23.2
318,23.0
319,22.7
320,22.0
321,21.7
322,21.2
323,20.8
324,20.4
325,20.5
326,20.5
327,20.7
328,20.9
329,21.2
330,21.5
331,21.7
332,21.7
333,21.7
334,21.8
335,22.1
336,22.3
337,22.3
338,22.3
339,22.7
340,23.1
341,23.3
342,23.0
343,22.7
344,22.5
345,22.2
346,21.7
347,21.4
348,21.2
349,21.2
350,21.1
351,21.0
352,20.7
353,20.6
354,20.4
355,20.2
356,20.1
357,19.9
358,19.9
359,19.9
360,19.8
361,19.8
362,19.7
363,19.7
364,19.6
365,19.5
366,19.4
367,19.3
368,19.3
369,19.4
370,19.7
371,19.9
372,20.1
373,20.3
374,20.5
375,20.6
376,20.7
377,20.8
378,21.0
379,21.1
380,21.1
381,21.1
382,21.1
383,20.9
384,20.7
385,20.6
386,20.6
387,20.8
388,20.9
389,21.0
390,20.9
391,20.5
392,20.3
393,20.3
394,20.5
395,20.7
396,20.5
397,20.3
398,20.2
399,19.8
400,19.3
401,18.9
402,18.6
403,18.4
404,18.1
405,18.0
406,18.1
407,18.2
408,18.3
409,18.9
410,19.4
411,19.9
412,20.6
413,20.9
414,21.1
415,21.3
416,21.5
417,21.7
418,21.9
419,21.9
420,21.6
421,21.3
422,21.2
423,21.1
424,21.1
425,20.9
426,20.6
427,20.3
428,20.6
429,20.9
430,20.9
431,20.7
432,20.6
433,20.3
434,20.1
435,19.8
436,19.7
437,19.5
438,19.3
439,19.1
440,19.3
441,19.5
442,19.6
443,19.6
444,19.6
445,19.6
446,19.5
447,19.2
448,19.0
449,18.8
450,18.7
451,18.6
452,18.6
453,18.5
454,18.3
455,18.1
456,18.0
457,17.9
458,17.6
459,17.3
460,17.1
461,17.2
462,17.2
463,17.2
464,17.3
465,17.5
466,17.7
467,17.9
468,18.0
469,18.1
470,18.6
471,19.0
472,19.4
473,19.6
474,19.8
475,20.0
476,20.1
477,20.2
478,20.5
479,20.8
480,21.1
481,22.1
482,22.6
483,23.1
484,23.4
485,23.7
486,24.0
487,24.1
488,24.2
489,24.2
490,24.2
491,24.2
492,24.1
493,24.0
494,23.8
495,23.7
496,23.5
497,23.1
498,22.4
499,22.0
500,21.6
501,21.3
502,21.2
503,21.2
504,21.2
505,21.3
506,21.3
507,21.3
508,21.2
509,21.1
510,20.9
511,20.9
512,20.9
513,21.0
514,21.1
515,21.0
516,20.8
517,20.7
518,20.7
519,20.7
520,20.9
521,21.3
522,21.6
523,21.5
524,21.2
525,21.0
526,21.0
527,21.2
528,21.3
529,21.3
530,21.3
531,21.3
532,20.9
533,20.5
534,20.2
535,20.2
536,20.2
537,20.2
538,20.0
539,19.8
540,19.6
541,19.3
542,18.8
543,18.4
544,18.4
545,18.6
546,18.7
547,18.9
548,19.0
549,19.0
550,19.0
551,18.9
552,18.8
553,19.0
554,19.1
555,19.2
556,19.7
557,20.2
558,20.8
559,21.5
560,22.1
561,22.3
562,22.4
563,22.4
564,22.2
565,21.9
566,21.7
567,21.7
568,21.8
569,21.8
570,21.8
571,21.8
572,21.8
573,21.4
574,21.0
575,20.8
576,20.8
577,20.8
578,20.8
579,20.4
580,20.1
581,19.9
582,19.5
583,19.1
584,18.7
585,18.7
586,19.1
587,19.3
588,19.4
589,19.4
590,19.5
591,19.7
592,19.9
593,20.2
594,20.6
595,20.9
596,21.2
597,21.5
598,21.6
599,21.8
600,21.9
601,21.9
602,21.9
603,21.9
604,21.9
605,21.8
606,21.8
607,21.8
608,21.6
609,21.5
610,21.4
611,21.4
612,20.9
613,20.6
614,20.3
615,20.1
616,19.6
617,19.0
618,18.5
619,18.1
620,17.7
621,16.9
622,16.0
623,15.6
624,15.3
625,15.0
626,15.0
627,14.9
628,15.0
629,15.1
630,15.3
631,15.5
632,15.6
633,15.9
634,16.2
