time,respirationRate
0,15.2
1,15.1
2,14.9
3,14.7
4,14.5
5,14.4
6,14.3
7,14.2
8,14.1
9,13.7
10,13.4
11,13.3
12,13.1
13,13.0
14,12.9
15,12.8
16,12.8
17,12.7
18,12.7
19,12.6
20,12.6
21,12.6
22,12.5
23,12.4
24,12.4
25,12.8
26,13.1
27,13.6
28,14.2
29,14.7
30,15.8
31,16.7
32,17.5
33,18.2
34,18.8
35,19.3
36,19.7
37,20.1
38,20.3
39,20.4
40,26.6
41,26.8
42,26.9
43,26.9
44,26.9
45,26.7
46,26.6
47,26.5
48,26.3
49,26.4
50,26.4
51,26.8
52,27.2
53,27.6
54,27.8
55,28.1
56,28.3
57,28.4
58,28.5
59,28.6
60,28.6
61,28.7
62,28.8
63,28.8
64,28.8
65,28.9
66,28.9
67,28.9
68,28.8
69,28.5
70,28.3
71,27.8
72,27.5
73,27.0
74,26.5
75,26.2
76,26.0
77,25.9
78,26.0
79,26.0
80,26.0
81,23.7
82,23.5
83,23.4
84,23.2
85,23.2
86,22.9
87,22.7
88,22.7
89,22.7
90,22.7
91,22.8
92,22.8
93,22.8
94,22.7
95,22.5
96,22.4
97,22.3
98,22.2
99,22.2
100,21.9
101,21.7
102,21.5
103,21.6
104,21.6
105,21.7
106,21.9
107,22.1
108,22.4
109,22.7
110,22.9
111,23.2
112,23.3
113,23.0
114,22.8
115,22.5
116,22.1
117,21.9
118,21.6
119,21.3
120,21.0
121,21.1
122,21.3
123,21.6
124,21.7
125,21.8
126,21.6
127,21.5
128,21.7
129,21.8
130,21.8
131,21.8
132,21.8
133,21.9
134,22.1
135,22.1
136,22.2
137,22.2
138,22.3
139,22.3
140,22.4
141,22.4
142,22.4
143,22.5
144,22.9
145,22.9
146,22.9
147,23.0
148,23.2
149,23.4
150,23.5
151,23.6
152,23.7
153,23.8
154,23.7
155,23.7
156,23.7
157,23.7
158,23.6
159,23.5
160,23.4
161,23.0
162,22.8
163,22.7
164,22.7
165,22.8
166,22.9
167,23.0
168,23.1
169,22.6
170,22.3
171,22.0
172,21.9
173,21.8
174,21.7
175,21.4
176,21.0
177,20.6
178,20.3
179,19.4
180,18.9
181,18.5
182,18.1
183,17.9
184,17.7
185,17.4
186,17.0
187,16.7
188,16.7
189,16.6
190,16.6
