time,meanIntensity,stDevIntensity,meanPitch,stDevPitch,stDevVoiceActivity,meanVoiceActivity,syllablesPerSecond,filledPauses
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,74.15870138691261,163.9679580362425,0.0,0.0,0.375632799419859,0.17,0.8,0.0
6.0,65.5226129037488,161.64264653757493,0.0,0.0,0.317811264746862,0.114,0.6,0.0
7.0,66.43089325343725,161.41623163121508,0.0,0.0,0.31781126474686205,0.114,0.6,0.0
8.0,66.35772693827471,161.4409199732166,0.0,0.0,0.317811264746862,0.114,0.6,0.0
9.0,13.483322444428984,13.639276775606485,0.0,0.0,0.0,0.0,0.0,0.0
10.0,13.14354427892036,13.636576241436607,0.0,0.0,0.0,0.0,0.0,0.0
11.0,11.03655626007047,5.590939753225305,0.0,0.0,0.0,0.0,0.0,0.0
12.0,10.093444509488872,1.036428509988936,0.0,0.0,0.0,0.0,0.0,0.0
13.0,10.159562219711464,1.0357314910238697,0.0,0.0,0.0,0.0,0.0,0.0
14.0,10.151735899165612,1.0495331874679712,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.371554606048884,1.066993124683859,0.0,0.0,0.0,0.0,0.0,0.0
16.0,10.591638684584986,1.279762927188459,0.0,0.0,0.0,0.0,0.0,0.0
17.0,11.064181101615464,2.4097520966761796,0.0,0.0,0.0,0.0,0.0,0.0
18.0,46.8133721293473,147.08291811883157,0.0,0.0,0.3340898082851376,0.128,0.6,0.0
19.0,57.450466037009384,146.98650535641815,0.0,0.0,0.3531062163145815,0.146,0.8,0.0
20.0,58.26817242169553,146.75068304987914,0.0,0.0,0.3531062163145814,0.146,0.8,0.0
21.0,58.233639645131305,146.76212691906576,0.0,0.0,0.35310621631458144,0.146,0.8,0.0
22.0,58.974005347785365,146.5385425692461,0.0,0.0,0.35310621631458144,0.146,0.8,0.0
23.0,24.375198692572464,26.52763396877038,0.0,0.0,0.0,0.0,0.0,0.0
24.0,14.462201834058847,4.6049879264287865,0.0,0.0,0.0,0.0,0.0,0.0
25.0,14.38885094288383,4.654445130536647,0.0,0.0,0.0,0.0,0.0,0.0
26.0,14.434999141853165,4.604690007968286,0.0,0.0,0.0,0.0,0.0,0.0
27.0,13.66311676814007,4.194567623699033,0.0,0.0,0.0,0.0,0.0,0.0
28.0,12.757213405429964,3.0457310753982796,0.0,0.0,0.0,0.0,0.0,0.0
29.0,12.325743068232406,2.8168195413253794,0.0,0.0,0.0,0.0,0.0,0.0
30.0,11.76373994610004,1.3736960536731533,0.0,0.0,0.0,0.0,0.0,0.0
31.0,11.680364003121715,1.338789066660362,0.0,0.0,0.0,0.0,0.0,0.0
