time,speechWorkload,overall
0,0.0,nl
1,0.0,nl
2,0.0,nl
3,0.0,nl
4,0.0,nl
5,0.0,nl
6,0.0,nl
7,0.0,nl
8,0.0,nl
9,0.0,nl
10,0.0,nl
11,0.0,nl
12,0.0,nl
13,0.0,nl
14,0.0,nl
15,0.0,nl
16,0.0,nl
17,0.0,nl
18,0.0,nl
19,0.0,nl
20,0.0,nl
21,0.0,nl
22,0.0,nl
23,0.0,nl
24,0.0,nl
25,0.0,nl
26,0.0,nl
27,0.0,nl
28,0.0,nl
29,0.0,nl
30,0.0,nl
31,0.0,nl
32,0.0,nl
33,0.0,nl
34,0.0,nl
35,0.0,nl
36,0.0,nl
37,0.0,nl
38,0.0,nl
39,0.0,nl
40,0.0,nl
41,0.0,nl
42,0.0,nl
43,0.0,nl
44,0.0,nl
45,0.0,nl
46,0.0,nl
47,0.0,nl
48,0.0,nl
49,0.0,nl
50,0.0,nl
51,4.0,nl
52,4.0,nl
53,4.0,nl
54,4.0,nl
55,4.0,nl
56,4.0,nl
57,0.0,nl
58,0.0,nl
59,0.0,nl
60,0.0,nl
61,0.0,nl
62,0.0,nl
63,0.0,nl
64,0.0,nl
65,0.0,nl
66,0.0,nl
67,0.0,nl
68,0.0,nl
69,0.0,nl
70,0.0,nl
71,0.0,nl
72,0.0,nl
73,0.0,nl
74,0.0,nl
75,0.0,nl
76,0.0,nl
77,0.0,nl
78,0.0,nl
79,0.0,nl
80,0.0,nl
81,0.0,nl
82,0.0,nl
83,0.0,nl
84,0.0,nl
85,0.0,nl
86,0.0,nl
87,0.0,nl
88,0.0,nl
89,4.0,nl
90,4.0,nl
91,4.0,nl
92,4.0,nl
93,4.0,nl
94,0.0,nl
95,0.0,nl
96,0.0,nl
97,0.0,nl
98,0.0,nl
99,0.0,nl
100,0.0,nl
101,0.0,nl
102,0.0,nl
103,0.0,nl
104,0.0,nl
105,0.0,nl
106,0.0,nl
107,0.0,nl
108,0.0,nl
109,0.0,nl
110,0.0,nl
111,4.0,nl
112,4.0,nl
113,4.0,nl
114,4.0,nl
115,4.0,nl
116,4.0,nl
117,4.0,nl
118,4.0,nl
119,0.0,nl
120,0.0,ul
121,0.0,ul
122,0.0,ul
123,0.0,ul
124,0.0,ul
125,0.0,ul
126,0.0,ul
127,0.0,ul
128,0.0,ul
129,0.0,ul
130,0.0,nl
131,0.0,nl
132,0.0,nl
133,0.0,nl
